"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","B1-A","B1-H","B10-A","B10-H","B11-A","B11-H","B12-A","B12-H","B13-A","B13-H","B14-A","B14-H","B2-A","B2-H","B3-A","B3-H","B4-A","B4-H","B5-A","B5-H","B6-A","B6-H","B7-A","B7-H","B8-A","B8-H","B9-A","B9-H","R1-A","R1-H","R2-A","R2-H","R3-A","R3-H","R4-A","R4-H","R5-A","R5-H","R6-A","R6-H","R7-A","R7-H","R8-A","R8-H","V1-A","V1-H","V10-A","V10-H","V11-A","V11-H","V12-A","V12-H","V13-A","V13-H","V14-A","V14-H","V15-A","V15-H","V16-A","V16-H","V2-A","V2-H","V3-A","V3-H","V4-A","V4-H","V5-A","V5-H","V6-A","V6-H","V7-A","V7-H","V8-A","V8-H","V9-A","V9-H","YG1-A","YG1-H","YG10-A","YG10-H","YG2-A","YG2-H","YG3-A","YG3-H","YG4-A","YG4-H","YG5-A","YG5-H","YG6-A","YG6-H","YG7-A","YG7-H","YG8-A","YG8-H","YG9-A","YG9-H","Time"
1.62257e+06,1.80309e+06,605458,728240,615944,670626,-11.2094,239,1051.45,839,712.672,558,500.438,530,275.931,300,563.284,419,268.494,299,527.159,473,-41.3844,318,388.769,360,197.997,348,731.797,1089,1416.31,1432,1907.72,1466,153772,63537,283991,116951,253917,104692,195702,80663,172493,70334,114849,47049,98379.4,40298,49808.8,19949,47015,51465,28691.8,31601,29423,32460,24651.1,27270,24013.1,25665,20678.9,22041,14544,15385,6137,6523,455929,500260,1.00146e+06,1.097e+06,779634,858790,482529,529575,299781,328579,245287,269593,73240.4,80442,38993.2,42692,596.75,329,8284.33,4236,594.737,373,162.837,326,33122.9,16965,45125,22534,38098.4,19187,42336.9,21388,23381.8,11902,16596.3,8433,0.0014
1.42707e+06,1.74514e+06,331942,616348,527700,368534,-128.456,230,59.2875,253,-121.125,333,267.856,273,374.85,280,352.697,294,2.60313,195,206.922,329,335.166,361,188.434,280,-26.5094,259,598.453,408,-236.672,167,195.394,333,908.331,346,1201.42,479,1149.34,510,658.397,378,444.465,307,343.101,419,443.739,358,382.111,353,262.36,544,464.56,494,-126.08,173,127.84,197,148.2,449,282.44,435,-74.24,255,120.44,208,1047.24,1234,2293.32,2652,1700.36,2173,1719.72,1461,1404.6,1102,855.28,1169,466.56,583,365.52,655,-109.637,102,703.938,327,280.175,272,-295.225,200,-206.062,223,-39.375,169,408.625,295,63.4375,212,362.163,411,-289.712,196,0.0723
1.77771e+06,1.87555e+06,660419,1.02351e+06,727915,637723,261.109,488,225.994,285,366.775,441,221.266,419,-103.913,384,-186.894,172,363.163,449,876.244,585,592.716,416,379.206,369,389.141,610,561.531,504,597.444,478,556.75,295,10100.1,4013,18977.9,7311,17506.3,6459,12816.8,5033,11485.4,4438,8235.78,3031,6498.38,2578,3236.69,1514,7010.28,7266,4690.08,4637,2782.48,2664,1876.8,2180,2167.2,2145,1472.16,1592,907.52,1206,559.24,742,66721.6,68045,146328,149053,113599,116140,70581.5,71765,44232.7,44812,37005.7,37080,11679.6,11350,6325.24,6363,-37.625,221,995.138,494,-954.1,90,307.125,271,1889.04,1088,3022.25,1461,2997.4,1247,2756.6,1137,1166.38,798,1419.25,694,0.0734
1.65611e+06,1.78092e+06,487757,969429,694185,468659,307.7,336,241.613,282,189.869,380,-416.606,81,63.3781,342,122.028,346,270.034,224,748.478,621,652.269,526,411.241,373,68.6906,387,154.062,323,431.003,317,31.6625,205,-241.945,302,224.307,208,243.916,366,84.1413,240,-81.0287,211,-378.999,246,142.864,608,612.229,356,159.8,288,489.92,545,182.88,378,359.4,375,15.04,413,618.16,465,125.4,310,-112.48,165,1095.64,982,1892.68,1690,1393.32,1407,1340.88,1236,1131.04,854,1251.16,1250,1187.56,929,469.88,531,622.037,261,-156.1,278,-576.013,198,174.3,207,-451.15,211,9.975,157,818.737,368,-142.1,326,-107.887,244,801.675,408,0.2759
1.41747e+06,1.70705e+06,539039,811306,663577,600875,90.7375,355,262.65,215,-156.028,219,192.578,392,274.709,383,175.684,251,450.128,329,378.728,449,337.981,306,201.238,233,377.347,313,48.6625,245,155.709,242,-150.45,158,160.812,480,372.462,261,836.744,475,444.672,513,383.253,286,413.547,268,98.4587,338,110.909,307,189.72,554,767.88,830,305.4,497,8.12,228,307.56,428,503.84,452,-98.28,231,243,422,3496.68,3734,6923.2,7787,5662,6265,3688.72,4256,2696.32,3045,2711.96,2832,1016.68,1437,773,1105,698.337,283,-264.163,256,91.9625,210,-281.4,191,807.013,386,412.825,299,90.475,184,522.55,288,441.35,314,66.15,462,0.2912
1.39091e+06,1.54824e+06,351550,715589,596998,380071,57.8,241,75.3313,251,99.0781,200,45.7406,318,377.772,330,139.294,228,243.844,301,164.156,449,138.869,263,603.872,436,399.394,417,44.9438,320,183.706,288,-154.169,202,967.261,535,1199.56,856,1492.96,671,2014.1,651,601.128,506,920.677,511,570.832,381,-76.4637,206,465.84,474,395,481,367.44,407,233.48,411,-135.16,231,174.32,421,-277.44,130,63.04,175,2851.48,3466,6793.08,7591,5111.6,5699,3692.52,3795,2412.04,2725,2396.28,2387,788.12,1097,637.08,710,386.225,261,-408.8,228,-369.6,177,129.762,209,433.737,246,898.362,437,761.95,458,377.562,362,-241.238,177,637.7,337,0.2929
1.50509e+06,1.49549e+06,555411,833776,599761,536376,512.072,397,195.606,227,-166.388,477,-118.416,239,-363.003,286,-29.6969,230,408,318,685.631,613,-115.919,429,14.6094,381,248.413,380,235.238,266,448.216,460,-11.6875,328,2084.75,894,3638.93,1521,2988,1197,2383.14,1191,2643.03,1060,374.019,629,1268.86,748,268.505,507,1127.48,1051,1225.16,1131,675.24,736,194.76,593,707.08,639,477.24,483,88.36,313,243.92,342,7346.84,7835,15799.9,16833,12353.6,13189,7961.48,8532,5243.2,5820,4909.76,5265,2165.28,2007,1171.76,1195,71.225,185,368.9,312,-102.9,238,547.05,365,-136.062,246,132.738,353,559.388,286,1164.36,596,641.462,350,867.125,425,0.5477
1.32586e+06,1.47052e+06,429737,722516,584389,465020,16.8406,189,505.484,303,21.5156,243,285.653,323,-161.659,287,-114.484,226,367.678,462,307.434,394,-21.25,268,509.522,461,-32.4594,373,506.175,362,-273.169,157,278.959,252,-313.014,282,-100.949,297,1064.89,501,247.029,184,64.2213,255,82.17,331,-195.88,243,734.239,375,457.6,475,226.96,395,232.04,346,227.44,270,27.32,296,-79.36,242,251.28,346,-40.4,352,950.76,1150,2831.52,2663,2196.64,2168,1772.4,1869,1278.56,1241,1201.64,1243,876.12,951,916.28,851,732.2,250,-243.075,168,-42.4375,235,435.575,300,-26.6,239,643.388,309,459.725,322,225.488,341,247.625,297,307.3,302,0.5776
1.79525e+06,1.87452e+06,560450,826929,625493,571049,424.203,316,410.497,365,90.1531,380,-193.109,186,105.347,309,-95.3063,244,654.819,381,320.45,508,574.069,378,325.231,425,532.419,478,505.378,270,-16.4688,245,286.716,324,5673.88,2476,10169.8,3945,9180.84,3875,6803.51,2865,6282.48,2861,4506.17,1680,3631.77,1405,1596.3,769,1333.16,1591,1598.2,1425,1433.04,1583,1069.92,1118,886.68,1074,1312.72,1131,251.72,552,311.76,593,12961,13876,29289,30627,22345.3,23516,14716.6,15074,9882.2,10156,8352.08,8640,3159.68,2957,1908,1903,340.025,306,1045.1,399,1074.67,407,-26.6,253,1787.19,850,1709.49,832,1745.62,803,1810.03,702,763.438,604,866.862,448,0.621
1.44878e+06,1.73794e+06,431368,696971,573618,472916,493.266,293,-66.5125,183,-186.522,267,-60.4031,212,229.341,334,265.572,225,389.088,365,228.544,366,665.072,341,255.531,454,299.678,489,-130.103,186,119.638,320,399.341,281,498.311,454,-156.455,216,537.01,401,295.065,318,293.924,246,-422.574,283,1208.9,430,-53.6387,263,393.04,369,611.36,792,354.36,364,184.32,271,115.88,260,231.48,331,171.2,290,-123.6,203,664.52,887,1686.52,1714,1428.84,1726,1171.96,1156,864.76,1099,1205.04,1352,691.32,897,639,706,-105.175,219,135.363,333,170.975,294,372.837,312,-258.038,147,25.8125,359,931.438,350,-117.075,203,126.963,263,-402.762,293,0.6311
