"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","B1-A","B1-H","B10-A","B10-H","B11-A","B11-H","B12-A","B12-H","B13-A","B13-H","B14-A","B14-H","B2-A","B2-H","B3-A","B3-H","B4-A","B4-H","B5-A","B5-H","B6-A","B6-H","B7-A","B7-H","B8-A","B8-H","B9-A","B9-H","R1-A","R1-H","R2-A","R2-H","R3-A","R3-H","R4-A","R4-H","R5-A","R5-H","R6-A","R6-H","R7-A","R7-H","R8-A","R8-H","V1-A","V1-H","V10-A","V10-H","V11-A","V11-H","V12-A","V12-H","V13-A","V13-H","V14-A","V14-H","V15-A","V15-H","V16-A","V16-H","V2-A","V2-H","V3-A","V3-H","V4-A","V4-H","V5-A","V5-H","V6-A","V6-H","V7-A","V7-H","V8-A","V8-H","V9-A","V9-H","YG1-A","YG1-H","YG10-A","YG10-H","YG2-A","YG2-H","YG3-A","YG3-H","YG4-A","YG4-H","YG5-A","YG5-H","YG6-A","YG6-H","YG7-A","YG7-H","YG8-A","YG8-H","YG9-A","YG9-H","Time"
2.18504e+06,2.39002e+06,626312,955834,708018,609820,299.094,382,8875.12,6689,5231.48,3543,4106.14,2940,1997.45,1734,1961.59,1539,1082.58,766,9773.25,7085,52834.1,39337,51210.1,38117,47276.6,35034,32120.1,23958,20311.7,15098,18339.3,13284,237.587,186,351.609,239,-219.742,149,0.72625,188,-53.535,241,246.51,354,171.084,292,-229.806,332,53.04,298,53328.2,52468,17701.4,17462,7196.04,6923,5201.64,5054,3138.48,3122,1812.36,1758,836,823,377.8,349,609.72,546,388.68,500,1109.68,1068,1300.28,1256,7161.04,6639,74404.6,73028,50171,49639,20249.5,8860,995.4,651,18577.8,8441,16991.5,7683,11181.5,5362,8068.99,3496,5976.6,2763,5314.49,2442,2126.34,1169,1237.42,827,0
1.85577e+06,1.95806e+06,742796,1.22254e+06,832738,675445,111.35,280,1303.63,766,531.781,566,675.644,360,79.6344,402,1041.57,444,830.928,627,1298.48,998,5785.79,3984,5772.83,4032,5103.13,3394,4088.39,2507,2372.08,1709,1924.4,1329,160.709,245,-20.6462,236,556.619,305,311.042,238,602.684,394,-13.1762,285,543.857,464,626.027,372,-245.16,141,6631.12,6152,2656.04,2096,463.08,684,339.24,520,727.32,581,752.6,520,341.8,345,338.04,448,290.24,514,607.12,599,1153.4,823,1052.92,755,2071.36,1611,9768.64,8745,6464.32,5679,2675.93,1023,-465.413,211,2095.97,944,1784.04,917,1950.9,649,1755.42,541,831.513,448,1077.47,499,-153.738,371,-55.825,202,0.0057
2.39401e+06,2.22376e+06,746327,1.16459e+06,758855,654485,347.65,388,5681.98,3995,3594.12,2410,2602.81,1943,1701.81,963,1426.25,1226,921.134,756,6227.15,4326,33002.8,24017,32224.6,23149,30226.4,21772,20482,14779,12704.5,9282,11050.9,8349,-1190.43,77,93.1675,202,122.114,197,905.011,311,764.222,314,1160.44,538,-550.394,459,681.638,419,328.4,378,35050.5,33524,11570.6,11300,4806.32,4436,3310.8,3195,2334.96,1965,1319.4,1198,275.44,565,950.72,675,863.6,729,1017.24,973,1109.76,1221,1325.32,1257,5440.16,4890,50133.4,47604,33772.7,32297,12543.9,5456,98.0875,382,12303,5149,11439.3,4858,6906.64,3492,5451.51,2360,4543.52,1943,3948.18,1530,1731.36,944,1390.38,528,0.2308
2.54252e+06,2.19219e+06,927624,1.39963e+06,900018,785716,994.925,591,789.172,508,67.0438,297,707.359,417,150.981,308,468.616,348,324.753,434,1295.19,718,3530.79,2002,2885.33,1845,2559.83,1579,2006.96,1193,449.544,466,760.591,568,976.495,406,548.734,407,49.8,136,771.277,220,976.91,391,625.198,406,530.889,462,596.562,364,239.8,350,4292.32,3373,1705.68,1291,787.12,600,348.56,591,136.84,336,162.4,252,-284.92,227,557.08,417,1025.4,777,496.04,593,1116,920,1428.56,1050,2037.68,1442,6847.64,5328,4412.44,3516,867.3,433,485.012,396,873.862,525,353.062,421,1215.55,505,1074.24,392,971.162,436,1053.41,622,-202.037,268,-5.25,354,0.2515
1.55304e+06,1.7199e+06,412388,750661,564715,424804,696.841,441,1934.71,1338,1508.17,792,942.066,573,98.3344,527,87.8156,239,574.547,358,1916.59,1478,8759.62,7010,8851.32,7097,8397.15,6333,5693.73,4356,3812.09,2723,2860.46,2551,326.294,288,26.7675,192,95.2425,271,354.41,307,1025.57,410,-246.51,396,530.059,378,-494.576,260,193.04,303,7837.64,8208,2798.36,2720,902.16,1017,1209.28,865,381.92,736,107.84,372,492.52,486,240.48,321,200.2,370,493.44,579,729.68,843,1015.12,795,1284.8,1350,11201.6,11901,7818.64,7676,3767.05,1632,81.2,147,3298.66,1591,3266.99,1603,1576.49,1009,1908.99,922,1443.66,636,312.725,708,379.575,309,266.438,255,0.313
1.92329e+06,1.95971e+06,786951,1.28504e+06,869329,709920,429.303,513,762.45,492,405.291,318,373.734,376,290.7,371,-322.628,177,753.897,371,1164.93,782,4426.16,2960,4652.42,3110,3962.33,2515,2879,1916,2140.94,1230,1641.46,1128,-48.14,281,-938.626,153,366.964,258,-395.91,147,-399.022,189,-828.547,198,-294.857,247,124.5,306,33.68,266,4718.12,4053,1412.72,1536,560.68,626,742.36,652,357.36,444,-80,181,-62.88,250,627.88,425,541.84,449,562.28,430,537.64,435,1146.88,803,1490.68,1256,6760.68,5968,4545.6,3847,1426.78,805,399.087,318,2006.81,781,1391.86,602,393.225,488,572.688,363,339.062,401,636.65,456,955.938,380,475.65,465,0.3287
1.9494e+06,2.06169e+06,647990,1.06343e+06,758995,620824,956.675,448,389.831,328,476.797,437,291.019,334,395.303,296,-25.7125,386,392.594,388,617.844,522,2014.82,1407,2130.63,1560,1939.59,1304,1242.86,858,491.619,599,818.816,719,22.9287,302,-12.1388,270,796.074,237,-84.7637,230,260.931,221,371.114,379,-522.9,289,188.825,408,260.2,408,3328.08,3016,1096.84,1038,543.12,460,736.4,583,161,295,92.28,278,-177.64,222,372.64,511,772.04,593,637.12,500,777.32,732,944.64,649,1520.6,1232,4491.28,4645,2780.16,2838,547.312,267,57.05,260,909.037,651,756.787,346,-278.862,263,612.062,296,726.162,382,1322.47,466,289.1,503,311.762,314,0.4068
1.61006e+06,1.81337e+06,415917,827038,685090,448604,1294.44,1306,21123.2,17149,12381.3,9834,9035.82,7384,5606.18,4596,4856.42,3963,2802.24,2637,26183.8,21376,130050,106353,124346,102596,114747,94126,77795.7,63588,48627.4,39922,42743.4,35227,-241.945,322,-152.098,301,-154.069,197,-228.872,176,140.893,262,363.54,301,-179.902,260,-65.6738,242,498.2,518,80546.3,86845,28154.5,29694,11234.8,12033,8201.52,8433,4802.4,5006,2740,2821,1185.64,1194,687.4,494,597.36,556,924.12,824,1409.76,1623,1778.68,1693,10629.3,11296,110996,119792,76237.5,81855,55045.8,26305,1411.9,933,49393.3,24209,45474.8,22023,31755.7,15198,21370.4,10309,15495.6,7601,15430.2,7464,5924.54,2796,2862.65,1565,0.4721
1.41773e+06,1.51718e+06,677327,1.52281e+06,1.14115e+06,661659,301.644,634,3722.52,5014,2431.05,2425,1340.82,1967,802.984,1298,1036.36,1449,528.169,963,3798.54,4299,21206.1,26489,21453.3,27175,20195.5,24889,14318.6,17562,8993.8,11194,8316.98,10006,196.814,295,398.296,243,105.618,214,-90.055,214,-261.554,344,320.38,362,510.035,352,293.094,417,63.28,360,12009.5,19045,4162.24,6594,1601.6,2575,1297.24,1964,853.44,1419,291.84,677,-8.32,419,502.76,467,699.08,701,607,757,660.24,1179,749.28,1116,2498.96,3369,16282,26430,11309.1,18192,24178.4,17488,1381.62,566,26271.6,19476,23419.5,16885,15475.2,11506,10087.1,7359,8429.05,5631,7059.76,5392,2170,1807,1618.22,1374,0.5566
2.57246e+06,2.18503e+06,1.01363e+06,1.54261e+06,883846,767633,495.709,448,4236.77,2670,2246.71,1603,1782.24,1287,749.381,654,760.272,624,829.281,541,4890.9,2962,24751.3,16129,23767.9,15475,21501.4,14234,15499.3,10127,9212.83,6150,8356.56,5535,-570.314,212,523.419,272,919.536,347,361.569,309,194.22,407,-496.962,221,280.332,263,773.871,360,463.24,250,28689,24814,10270.2,8563,3697.92,3296,2662.68,2354,1566.48,1434,960.64,825,706.16,510,698.6,484,1014.56,586,836.76,624,1349.64,997,1396.96,996,4994.16,3520,41542.2,35790,27616.9,23507,9654.66,3669,816.9,503,8708.7,3401,7839.82,3118,5603.15,2363,4995.55,1612,2615.64,1234,2929.59,1198,652.05,372,12.3375,290,0.5619
2.23705e+06,1.86724e+06,651923,1.2199e+06,765925,558067,-9.61563,300,577.044,539,795.175,565,275.347,348,567.109,412,116.344,295,291.019,497,1113.71,705,2482.74,1705,3008.36,1692,2388.66,1482,1651.76,1126,1064.68,635,1182.67,613,64.8438,311,985.314,326,201.275,326,684.335,282,927.11,408,-745.962,252,-157.389,384,27.39,307,57.76,208,2978.56,2906,1437.4,1187,1010.68,710,742.28,543,573,408,39.12,307,223.64,344,547.72,438,795.16,652,735.36,463,612.28,672,1038,740,1726.48,1360,5199.12,4480,3478.64,2905,1260.17,369,1033.99,379,728.438,351,1858.94,566,1371.47,388,557.55,437,920.062,423,724.85,420,970.112,523,126.7,245,0.7321
1.99525e+06,1.98814e+06,912436,1.3407e+06,959259,846334,-33.3094,302,738.331,1031,1004.28,646,814.353,556,657.422,493,244.588,568,754.269,543,1633.54,1223,7246.46,4796,6796.12,4670,6376.54,4320,4327.3,3090,2290.8,1847,2566.84,1651,272.862,333,332.622,332,1269.69,445,-758.412,84,-1181.19,168,67.645,281,78.9538,222,-244.539,347,179.16,272,8967.12,8222,2877.64,2671,1174.68,1121,840.76,826,772.68,693,356.44,367,171.2,314,479.32,482,918.52,663,459.52,464,871.44,708,914.44,729,2063.28,1915,13469.8,11761,8755.88,7738,2841.65,1068,134.925,331,3019.54,1155,2799.3,1181,2179.71,847,1376.9,593,450.625,285,1414.79,655,496.475,342,-175,163,0.7573
1.67541e+06,1.65835e+06,903188,1.34e+06,922312,812657,542.938,519,17291.7,10469,9977.88,5924,8111.12,4727,4906.68,2997,4502.93,2633,2069.11,1375,18279,11344,100855,61404,97697.7,59886,91788.5,55851,63179.3,38559,39737,24283,35414,21621,-489.492,169,-110.701,250,-455.981,254,-738.389,219,1047.77,380,396.947,375,869.633,342,411.369,452,202.8,345,95016,76442,33554.5,26594,13115.6,10746,9747.92,7719,6470.36,4972,3533.32,2753,1268.28,1125,214.96,335,306.64,524,902.76,678,1285.68,956,1901.56,1408,11480.6,9092,130924,105193,89748.5,72083,39261.3,14203,1322.3,549,35381,13203,33363.5,12043,22700.5,8378,15774.8,5689,12374.3,4660,11398.6,4157,4400.55,1769,3051.04,1040,0.8878
2.22449e+06,2.06645e+06,986798,1.60653e+06,1.09676e+06,886264,733.019,419,1558.42,1125,902.859,687,1004.22,680,974.259,543,227.959,410,197.2,309,2699.55,1555,10239.9,7504,9741.16,6786,8754.31,6255,5852.09,4249,3749.51,2850,3489.09,2454,655.389,338,506.507,305,-368.624,204,393.42,321,755.715,327,-167.349,297,593.657,316,-819.314,178,346.56,294,15593.3,14887,5452.2,4763,2130.88,1875,1558.12,1394,1191.96,1102,482.56,440,113.8,482,305.84,453,1196.52,751,1052.44,756,1108.88,1006,1155.24,893,3386.28,2861,23305.2,22185,15257.1,14355,3487.22,1393,1036.44,347,2289.44,1156,3181.06,1284,2628.06,1096,1173.38,828,1080.62,581,1363.86,595,779.712,579,-263.812,314,1.0085
