"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","B1-A","B1-H","B10-A","B10-H","B11-A","B11-H","B12-A","B12-H","B13-A","B13-H","B14-A","B14-H","B2-A","B2-H","B3-A","B3-H","B4-A","B4-H","B5-A","B5-H","B6-A","B6-H","B7-A","B7-H","B8-A","B8-H","B9-A","B9-H","R1-A","R1-H","R2-A","R2-H","R3-A","R3-H","R4-A","R4-H","R5-A","R5-H","R6-A","R6-H","R7-A","R7-H","R8-A","R8-H","V1-A","V1-H","V10-A","V10-H","V11-A","V11-H","V12-A","V12-H","V13-A","V13-H","V14-A","V14-H","V15-A","V15-H","V16-A","V16-H","V2-A","V2-H","V3-A","V3-H","V4-A","V4-H","V5-A","V5-H","V6-A","V6-H","V7-A","V7-H","V8-A","V8-H","V9-A","V9-H","YG1-A","YG1-H","YG10-A","YG10-H","YG2-A","YG2-H","YG3-A","YG3-H","YG4-A","YG4-H","YG5-A","YG5-H","YG6-A","YG6-H","YG7-A","YG7-H","YG8-A","YG8-H","YG9-A","YG9-H","Time"
1.9346e+06,1.88653e+06,667712,581155,600232,953387,228385,275049,389.366,482,285.244,395,76.2438,349,62.7,336,120.209,246,140466,168710,91480.3,110101,18970.9,22505,9752.53,11914,5106.54,5844,1459.22,1837,839.472,881,653.297,728,246.406,281,-200.134,189,481.504,295,-370.18,108,941.531,395,-396.947,465,16.185,288,273.277,364,61.9,359,21335.4,34760,4344.08,7039,1200.35,2166,1126.95,1652,407.3,912,390.825,641,267.7,343,350.8,673,887.425,1275,1012.85,1612,24786.1,40447,124431,202835,159486,259962,59782.1,97030,6526.56,11116,-753.2,184,-144.462,304,151.375,243,248.15,301,-123.637,307,776.737,383,283.325,366,-11.4625,338,271.337,348,-1229.72,134,0
1.77829e+06,1.80075e+06,575310,576090,587410,804303,128248,152169,63.4563,176,-182.634,210,132.653,443,390.019,425,-264.825,147,78494.7,93240,51787,61499,10771.9,12423,5617.8,6578,2773.27,3342,862.366,1145,745.8,657,695.097,695,565.645,339,166.519,290,25.6262,255,-37.2463,320,519.684,272,720.44,326,379.414,375,-835.291,345,-173.925,308,12447.3,20330,2481.18,4107,716.425,1486,518.225,1116,389.925,487,160.95,368,-11.025,378,489.4,608,406.175,859,723.1,1059,13892.2,22684,72691.9,118683,93024.1,152654,34949.6,57429,3797.78,6407.8,315.612,401,-154.35,261,-127.487,243,54.6,166,454.212,365,-31.325,141,181.912,209,871.062,526,205.363,320,235.988,327,0.0045
2.05897e+06,1.85258e+06,830458,640204,679438,1.22236e+06,246556,266512,311.575,419,172.322,401,-71.5,377,87.2781,244,273.969,281,150851,162815,98984.3,107181,20358.6,21937,10452.3,11596,5293.1,5681,1477.61,1870,408.272,916,888.353,758,-480.362,202,226.071,197,-142.137,213,341.026,369,190.9,391,-1105.97,355,304.091,296,-508.479,352,7.975,348,25443,37342,5244.27,7508,1511.65,2576,1336.88,1911,722.15,1131,315.15,482,343.35,445,595.15,581,1006.92,1410,1213.68,1548,29595.3,43898,147132,218017,187938,279244,70870.4,105734,7603.45,11374.3,692.475,255,316.05,236,-333.9,183,870.8,320,-544.162,106,1539.3,409,-41.3875,266,774.987,338,528.237,436,272.3,254,0.0158
1.15222e+06,1.36701e+06,389393,317848,459707,771230,9715.75,14345,-185.9,173,140.422,206,-274.863,235,186.691,426,-138.944,201,6260.17,8887,3806,5686,667.734,1327,271.288,564,128.15,353,232.65,372,-14.4719,271,-36.2313,295,172.018,347,57.0625,273,-266.845,276,899.305,287,181.044,313,792.65,421,-192.352,354,-350.986,292,198.675,307,1176.08,2229,241.325,568,2.05,216,211.35,325,179.75,286,26.7,256,16.175,179,6.1,353,90.95,301,347.925,658,1496.18,2628,5629.65,11452,7206.12,14658,2930.7,5646,346.115,723.8,-233.012,155,195.825,390,-703.938,304,123.375,310,48.5625,292,42.35,184,-438.725,162,-380.188,286,685.65,387,328.913,329,0.0294
2.22311e+06,1.82489e+06,900592,863903,732079,1.02996e+06,12508.4,10798,417.553,317,-144.994,253,172.356,310,347.738,294,63.7313,278,7807.97,7030,5177.29,4578,793.513,1044,863.122,836,578.428,461,-21.4844,291,362.966,235,182.6,318,-479.014,329,-231.466,252,-349.741,143,-350.26,263,781.03,430,258.441,268,-41.085,244,-521.136,311,-94.175,239,1285.28,1525,128.45,430,151.125,313,443.625,412,84.875,318,-208.425,237,43.4,370,314.95,423,314.75,376,326.425,435,1828.83,1828,6033.5,7045,8163.55,9486,3079.73,3618,548.223,1121.4,502.775,258,811.825,486,-701.138,160,555.712,304,1169.61,298,115.15,159,96.6,280,749.438,428,1409.45,367,628.075,270,0.0453
1.88453e+06,1.67048e+06,746630,631174,696041,1.14539e+06,2023.79,2246,-319.791,125,326.081,435,425.253,354,-111.272,287,-119.178,196,1303.43,1579,795.884,1238,487.919,588,137.363,356,431.406,341,214.706,292,42.9344,290,-137.878,252,273.174,352,-14.7325,231,644.184,302,131.451,303,-369.142,195,451.001,377,175.026,426,-1155.05,247,102.7,341,607.05,954,301.275,442,287.575,297,72.8,289,132.625,350,-149.175,345,127.675,390,267.55,474,302.05,552,275.375,596,895.075,1044,1417.35,1988,2154.8,2779,790.375,1476,149.223,733.6,420.788,264,498.663,372,268.275,296,496.475,346,331.275,315,-111.387,258,-73.5875,366,274.925,415,401.188,402,290.413,468,0.0509
1.16314e+06,1.28118e+06,262664,216903,308847,508268,8457.32,11821,291.981,364,-105.566,204,-58.7469,222,236.294,327,-257.606,162,5231.39,6970,3423.99,4631,707.644,1042,415.766,694,587.263,432,-63.6281,246,104.088,312,-115.534,168,-535.765,261,338.121,356,-501.112,158,129.169,231,188.721,290,1525.02,418,88.0837,212,864.652,394,34.5,292,844,1538,107.175,479,-114.525,219,-97.15,235,14.775,333,29.475,234,-40.125,217,127.125,311,273.325,372,270.15,334,1248.65,2156,4413.58,8279,5738.18,10850,2291.3,4043,199.028,1096.9,1059.1,323,8.6625,223,-423.15,280,-431.55,224,110.688,253,38.0625,189,-477.925,115,798,273,-1063.91,244,-412.475,264,0.0795
1.62964e+06,1.72596e+06,809659,647241,708306,1.22518e+06,286681,317484,179.85,446,393.078,478,333.747,651,71.8781,231,-200.544,392,175860,194027,115423,127686,23527,25829,12445,13867,6297.84,6811,1706.75,1996,635.216,1098,592.763,844,-1390.66,135,450.379,268,683.609,463,311.354,266,1193.75,394,915.386,628,783.105,335,-750.527,215,398.025,422,26930.4,40474,5366.77,7866,1818.68,2970,1373.38,2024,1051.58,1075,660.425,845,248.1,386,808.975,741,926.4,1371,1258.22,1754,31822.3,47932,157679,237531,201076,304012,76000.8,114485,8207.31,12025.3,889.263,328,947.888,408,-227.675,213,-833,291,603.75,342,538.562,289,460.95,350,179.375,472,446.688,341,-1254.4,103,0.0947
1.42558e+06,1.27603e+06,634559,530907,504547,825881,3633.3,3624,-295.797,215,-59.9844,381,284.659,263,150.631,283,0.240625,217,2264.18,2238,1757.56,1862,401.569,606,752.503,538,246.709,353,255.819,284,-97.6937,229,104.603,251,-274.004,259,-113.191,226,-306.789,306,656.323,306,878.036,445,-109.664,328,464.8,243,-276.494,272,-47.25,232,586.075,772,128.35,407,89.75,221,-3.225,365,-17.35,401,63.275,198,-5.475,285,292.8,418,458.025,577,181,467,655.725,969,2372.43,2966,2923.85,3948,1569.62,1943,31.3075,678.3,-103.688,276,157.5,251,67.6375,371,888.475,503,612.763,338,527.013,391,1100.14,312,-214.2,275,-185.762,269,57.05,409,0.0971
1.64804e+06,1.7472e+06,771967,639431,788786,1.32036e+06,802847,1.01939e+06,542.472,1245,486.338,716,420.028,502,-303.6,265,269.363,383,492443,624868,322620,409917,65622.5,83141,34547.2,44105,17303.4,21894,5495.77,6479,2503.91,3363,1848.96,2477,125.019,328,-358.145,186,1097.36,325,821.181,257,1361.1,642,-984.276,377,-454.217,173,-390.1,242,341.925,427,70946.7,123039,14052,24240,4725.6,8404,3183.2,5400,1544.3,3006,1103.6,1827,210.125,531,968.625,1712,1920.97,3443,2679.9,4501,86428.1,149003,421251,726940,536784,927500,201717,348729,21873.8,37759.4,978.862,265,-64.75,248,-100.188,208,-599.987,185,49.0875,162,1118.6,360,-436.625,106,250.863,460,-546.087,247,91.4375,475,0.1053
1.74989e+06,1.70078e+06,661191,514692,560130,985698,4134.83,4629,-173.387,223,138.841,299,-41.8688,406,-160.978,218,10.0031,312,2406.35,2726,1536.67,2063,196.625,520,455.263,562,-61.4969,165,131.038,282,207.316,230,173.938,282,-18.26,402,589.922,367,141.723,239,328.473,259,-103.957,409,-62.665,395,877.517,417,-1101.93,185,18.175,256,598.95,1059,255,471,130.575,413,150.775,327,-67.575,182,245.05,303,-63.925,265,388.875,386,332.875,305,453.675,438,1040,1181,2895.8,4038,3281.62,5289,1461.18,2304,128.992,753.2,541.1,287,-238.262,357,-155.575,231,-325.413,261,393.663,301,530.862,325,509.512,310,-480.812,254,104.912,392,360.325,244,0.1178
