"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","B1-A","B1-H","B10-A","B10-H","B11-A","B11-H","B12-A","B12-H","B13-A","B13-H","B14-A","B14-H","B2-A","B2-H","B3-A","B3-H","B4-A","B4-H","B5-A","B5-H","B6-A","B6-H","B7-A","B7-H","B8-A","B8-H","B9-A","B9-H","R1-A","R1-H","R2-A","R2-H","R3-A","R3-H","R4-A","R4-H","R5-A","R5-H","R6-A","R6-H","R7-A","R7-H","R8-A","R8-H","V1-A","V1-H","V10-A","V10-H","V11-A","V11-H","V12-A","V12-H","V13-A","V13-H","V14-A","V14-H","V15-A","V15-H","V16-A","V16-H","V2-A","V2-H","V3-A","V3-H","V4-A","V4-H","V5-A","V5-H","V6-A","V6-H","V7-A","V7-H","V8-A","V8-H","V9-A","V9-H","YG1-A","YG1-H","YG10-A","YG10-H","YG2-A","YG2-H","YG3-A","YG3-H","YG4-A","YG4-H","YG5-A","YG5-H","YG6-A","YG6-H","YG7-A","YG7-H","YG8-A","YG8-H","YG9-A","YG9-H","Time"
2.25066e+06,1.9967e+06,722432,661347,682616,1.01854e+06,312.434,334,335.363,555,313.053,571,359.116,440,360.353,443,84.0813,257,182.188,430,643.019,658,386.478,429,349.663,460,213.022,338,668.388,641,508.75,495,798.325,579,50902.9,17102,90415,30883,80383.7,27658,62162.7,21369,52821.8,17946,37372.8,12577,32046.6,10809,15845.8,5466,4009.53,5831,2956.95,4475,5420.88,7766,4692.08,6787,4616.45,6600,3915.07,5660,2867.38,4247,1401.7,1865,38469,55449,84101.2,120694,65374,94362,40882.4,58277,25877.8,36751,21607.5,30512,6710.33,9758,3916.73,5468,275.012,396,2911.39,1266,-271.95,298,460.6,351,10390.4,4502,15355.4,6082,12285.3,5031,14435.4,5653,7051.89,2996,5075.52,2174,0.2179
1.36771e+06,1.493e+06,653580,529432,689563,1.11268e+06,250.834,440,291.741,544,-37.2281,527,201.369,470,253.859,433,116.428,218,131.622,304,141.281,401,185.35,364,270.428,378,39.1875,263,470.422,700,441.513,555,691.728,738,83135.9,32099,152942,58748,135980,52101,105116,39937,88964,33793,61398.5,23723,54158.1,20955,25857.9,9784,7851.55,12686,5293.5,8450,9053.98,14766,8477.6,13552,8005.95,13015,7244.02,11236,5120.23,8124,2156.65,3504,74376.7,121088,162016,264154,125736,205828,77884.7,127024,48692.6,78823,40029.3,65565,12353.7,20189,6478.88,10515,458.237,258,4223.27,1972,-18.9875,188,462.438,347,17282.2,8208,23221.2,10538,20556.4,9409,21565,10332,12657.6,5656,8081.06,3999,0.2732
2.12068e+06,2.00151e+06,973601,970263,1.02882e+06,1.44149e+06,813.484,1017,0.61875,595,211.991,588,-254.203,248,122.169,338,-154.034,241,730.572,1083,1173.91,1513,764.672,1120,643.947,1172,739.028,958,570.213,575,235.641,521,562.719,801,7893.82,4870,17385.1,9999,16838.8,9431,13960.4,7434,10056.1,5801,7439.91,3881,5674.81,3567,4237.56,1912,964.625,2730,1769.2,3486,1723.83,3742,1328.58,3376,1427.05,3058,1267.3,2650,875.475,2108,416.15,792,9529.67,23441,20083.8,49496,15143.4,38314,10061.9,24506,6865.43,16024,6231.6,14364,2473.07,5688,1767.65,3843,323.925,249,1479.36,841,104.475,320,231.35,450,2277.8,1682,3241.52,2175,2666.3,1924,2952.07,2378,2106.91,1185,1701.35,1074,0.4987
2.28591e+06,2.16198e+06,921236,830370,748927,1.1224e+06,454.231,590,485.753,553,368.225,637,116.841,305,525.388,418,107.525,273,430.031,358,323.434,352,240.144,436,404.834,465,382.216,359,716.1,626,589.463,715,558.112,772,71414.9,24249,132104,44209,116554,39333,90812.2,30387,78237.4,25971,53461.2,17991,46810.9,15503,23160.2,7981,11198,16007,7273.4,10117,8340.85,11867,7078.8,9812,7254.27,9887,6216,8621,4269,6277,1917.68,2813,106701,151493,231556,329230,179009,254920,110686,156986,69278.3,97522,57112.9,80655,17868.2,24409,9427.12,13289,167.65,315,4197.9,1789,455.262,267,507.237,327,14578.9,6056,19335.7,7780,16693.1,6658,18193.1,7631,10383.2,4247,6794.46,2841,0.5958
1.86307e+06,1.49816e+06,1.10131e+06,1.0083e+06,973508,1.38788e+06,342.478,420,92.6063,226,51.3563,456,-39.1531,256,213.091,419,-52.8,332,545.806,503,653.056,755,413.909,552,320.134,391,227.975,283,243.478,368,-26.0562,182,98.2781,224,1907.34,852,2699.47,1285,3400.3,1222,3281.51,902,2046.78,878,1748.29,696,1791.76,721,566.06,654,536.275,621,718.375,828,440,552,354.35,529,461.825,565,153.175,513,303.025,494,64.85,277,3696.57,5110,8204.45,11060,6624.08,8832,4358.52,5725,3049.88,3946,2917.88,3755,1015.15,1459,544.7,1112,223.912,306,-557.462,264,853.737,329,359.538,278,312.55,252,580.388,424,495.775,533,699.737,450,294.7,427,1080.1,471,0.6978
1.79868e+06,1.73916e+06,765461,721148,731774,1.05342e+06,162.628,414,120.931,371,34.2719,320,419.513,460,-266.269,349,20.9688,217,285.381,359,464.819,726,368.431,510,305.147,547,520.231,618,-7.45938,287,66.0344,228,8.83438,278,8168.96,3150,16544.1,6037,15431.3,5599,11362.6,4163,9498.52,3451,6059.31,2232,5685.92,2152,3409.02,1270,1256.6,1707,1234.7,1619,1182.75,1762,1168.22,1712,1048.05,1690,696.05,1249,356.425,932,143.65,424,8095.12,12615,17339.5,27252,13509.5,21172,8839.17,13573,5777.62,8945,5508,8057,2217.85,3309,1254.6,1950,-114.1,278,755.388,353,-1158.94,91,-131.863,278,2159.41,834,2771.21,1321,1197.79,940,2451.49,1087,1211.53,755,1341.81,675,0.7714
1.72329e+06,1.76983e+06,572972,556648,666250,925701,310.475,525,34.0656,230,81.9156,336,5.05312,173,67.5813,288,-56.5469,334,153.038,270,353.994,390,216.15,333,-43.2438,330,248.016,246,192.225,433,248.703,331,457.909,387,3554.47,1447,8387.36,2451,4850.1,2038,5241.03,1692,3509.97,1630,1869.16,1258,2934.36,1253,640.034,474,370.025,788,362.825,691,725.2,1015,421.25,774,242.4,659,410.875,654,206.075,437,32.6,292,4098.75,6100,8860.58,13650,7153,10951,4277.1,6661,3042.23,4585,2480.57,3955,1073.33,1650,652.025,1064,168.787,198,-154.525,414,371.262,359,750.925,407,677.6,399,1593.03,687,1229.64,557,804.3,643,791.962,460,618.537,523,0.8164
1.5341e+06,1.60096e+06,813250,852178,1.00499e+06,1.32745e+06,345.159,494,490.291,438,-7.32188,318,-318.038,247,-198.241,249,48.6063,336,402.806,523,680.316,886,627.481,793,386.65,774,355.575,431,280.947,519,249.219,379,154.069,545,19741.7,7811,34896.9,13689,31001.6,12537,24782.1,9673,21162.6,8245,14670.1,5493,12323.5,4925,5610.38,2307,12098.6,20178,7644.5,12482,3513,5914,2630.05,4035,2328.3,3910,2004.4,2948,1492.95,2157,460.4,941,115746,194966,253384,426169,197803,334005,123087,206552,76925.2,129150,63347.4,105499,19292.3,31981,10378.4,17074,221.988,228,2142.79,662,865.638,346,612.5,468,4242.26,1996,6571.07,2829,5244.75,2418,6133.4,2973,2883.91,1654,1353.89,1162,0.8247
2.30803e+06,2.29561e+06,777414,569376,616653,1.14518e+06,379.878,415,998.697,1039,597.953,962,382.113,747,762.884,562,415.903,763,394.488,337,408.444,480,482.831,495,271.837,491,457.841,292,1429.66,1360,1204.78,1535,1327.36,1559,192904,68872,355837,127298,317939,114185,247375,88446,209050,74505,146063,51886,126026,44897,61697.2,22089,35120.4,52941,21615,32642,22567.3,34338,18867.3,29103,18770,28026,16116.9,24238,11615.4,17206,5042.7,7681,338859,513013,743287,1.12518e+06,578822,879848,359267,543353,223363,338376,183220,277756,54827.7,82685,28634,43351,730.188,262,10440.9,4848,57.8375,423,923.212,467,41142.9,18312,55996.9,24317,48120,21099,54741.6,23848,28180.2,12750,20423.2,8936,0.8553
2.39637e+06,2.22845e+06,883713,913031,884938,1.1544e+06,359.15,468,429.997,455,217.903,458,-87.8281,260,185.866,274,179.025,463,475.097,491,707.85,754,513.184,545,528.791,620,588.638,463,378.709,576,351.931,615,473.894,552,26456.7,8746,49306.3,16481,42515.9,14594,34636.9,11479,28246.9,9496,19481.1,6374,16531.1,5679,9473.1,3079,4227.23,5757,3349,4455,3245.28,4348,2697.35,3586,2518.1,3837,2354.73,2925,1747.6,2468,672.325,1014,39295.6,54904,85537,120380,66892.2,94277,41818.9,58561,26394.7,36928,21757.6,30745,7284.83,9959,3885.45,5448,814.362,238,1056.91,651,933.1,318,46.9,230,6068.91,2638,7330.31,3181,7514.94,2795,9499.09,3219,3418.54,1768,3065.56,1307,0.9043
