"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","B1-A","B1-H","B10-A","B10-H","B11-A","B11-H","B12-A","B12-H","B13-A","B13-H","B14-A","B14-H","B2-A","B2-H","B3-A","B3-H","B4-A","B4-H","B5-A","B5-H","B6-A","B6-H","B7-A","B7-H","B8-A","B8-H","B9-A","B9-H","R1-A","R1-H","R2-A","R2-H","R3-A","R3-H","R4-A","R4-H","R5-A","R5-H","R6-A","R6-H","R7-A","R7-H","R8-A","R8-H","V1-A","V1-H","V10-A","V10-H","V11-A","V11-H","V12-A","V12-H","V13-A","V13-H","V14-A","V14-H","V15-A","V15-H","V16-A","V16-H","V2-A","V2-H","V3-A","V3-H","V4-A","V4-H","V5-A","V5-H","V6-A","V6-H","V7-A","V7-H","V8-A","V8-H","V9-A","V9-H","YG1-A","YG1-H","YG10-A","YG10-H","YG2-A","YG2-H","YG3-A","YG3-H","YG4-A","YG4-H","YG5-A","YG5-H","YG6-A","YG6-H","YG7-A","YG7-H","YG8-A","YG8-H","YG9-A","YG9-H","Time"
2.09462e+06,1.94443e+06,867814,1.70152e+06,1.96271e+06,1.3383e+06,1975.05,2260,131012,144278,76458.6,81914,56575.8,60062,34658.9,36795,30396,32109,14774.4,15964,157366,173868,823518,904579,782404,865258,726946,798132,489567,540400,308451,340490,268494,294987,614.926,465,354.41,263,336.565,256,-44.6125,256,909.161,355,-53.8462,286,-584.839,244,686.203,349,391.85,592,605951,903091,208706,310172,83211.4,124204,59668.2,86263,36847.5,53483,20730.6,30417,7519.75,10732,791.15,1188,1198.1,1595,1546.12,2396,3390.93,5027,5626.48,8175,68913,102180,829954,1.23286e+06,572828,851597,501185,211800,13343.3,5683,450026,191911,415884,175968,275804,117799,184088,78156,139435,58865,129494,55440,50089.7,20562,28601.5,12495,0.013
1.26542e+06,1.50955e+06,329290,549371,723128,594003,294.903,500,2260.74,3174,1431,1860,1185.59,1691,771.066,1058,642.091,725,354.028,494,2672.35,3757,14081.6,19786,13178,19141,12251.1,17163,8392.66,11710,5157.87,7279,4493.71,6522,-180.421,401,167.245,238,781.964,281,-196.71,136,545.518,332,654.04,370,124.604,352,-28.7387,301,162.475,316,16882,31905,5664.3,10574,2399.2,4305,1749.1,3001,1056.45,1796,500.7,1036,37.075,326,-19.3,367,493.475,684,599.175,748,395.5,855,538.575,937,2299.15,4246,24530.2,46583,16070.1,30817,7904.05,4012,420.525,296,7473.99,4125,8055.6,3842,4582.29,2646,2955.66,1612,2319.62,1255,2725.71,1334,1009.75,714,53.725,417,0.0165
1.29304e+06,1.39287e+06,365430,641441,706073,557013,120.072,300,601.631,1054,8.86875,341,553.438,556,-230.312,247,-1.20312,475,292.806,451,671.859,1179,2587.51,5462,2457.3,5510,2490.19,4816,1833.53,3206,1136.44,2069,802.347,1952,234.994,296,-121.076,200,264.562,307,227.42,302,16.8075,393,352.542,327,-543.961,216,-155.417,340,-2.225,419,2441.32,6465,1236.8,2668,402.375,939,273.425,672,245.425,483,430.175,566,-158.325,169,216.55,356,365.475,652,470.1,709,508.2,882,488.45,730,887.55,1249,3570.48,9384,2427.07,6561,1916.95,1072,-68.95,173,1193.67,1046,1329.65,1031,786.013,690,1035.04,354,1485.05,556,335.562,418,688.1,340,84.7875,381,0.0277
1.77218e+06,2.0269e+06,510495,815481,1.00937e+06,862180,278.712,367,9798.46,12392,5738.98,6992,4138.13,5125,2380.37,3138,2026.37,2799,1157.41,1441,11252.6,14066,60276.6,75963,57693.8,73321,53458.2,67696,36283.8,45913,23012.1,29047,20113.4,25351,-14.8362,294,312.91,303,-34.5487,221,-309.175,261,-862.889,231,377.546,286,-54.5725,238,398.193,425,121,297,56907.7,97395,19159.1,32765,7675.05,13198,5444.43,8739,3414.4,5560,1976.9,3320,703.575,1205,285.175,592,404.825,762,618.025,834,1041.43,1643,1061.53,1673,6974.5,11601,80261.5,137042,54484.8,92547,35570.2,16811,200.113,564,32006.2,15431,30106.3,14350,19771.1,10163,13959.4,6518,10921.7,5013,9604.61,4713,3854.81,1783,2525.34,1090,0.0509
963745,1.19672e+06,270760,484618,666154,502303,0.06875,232,760.65,1370,434.259,1000,313.431,698,358.531,583,291.878,367,476.713,505,1008.73,1605,5490.07,8206,5299.49,7806,5110.15,7327,3271.5,4952,1930.05,3087,2009.84,2758,152.512,271,463.244,405,-201.379,226,-233.852,285,782.068,398,-319.031,644,-240.492,176,468.224,335,281.05,386,6412.5,12597,2232.65,4357,1097.43,1676,786.225,1275,464.8,732,173.575,320,-16.95,157,75.2,281,377.825,536,455.45,749,342.4,818,414.35,838,1040.1,2095,9262.4,18745,6155.1,12459,3843.96,1914,541.537,294,2662.27,1698,2511.6,1450,1467.81,1254,2125.46,793,628.162,529,918.75,627,651.612,435,330.663,325,0.0556
1.84087e+06,1.69099e+06,717598,1.23411e+06,1.40938e+06,1.11315e+06,277.097,419,987.456,1144,899.663,718,658.659,633,287.444,284,393.903,388,277.441,581,1487.99,1616,5488.76,6215,5661.25,5780,4956.36,5481,3205.88,3497,2159.54,2339,1865.43,2131,-321.832,259,463.97,327,180.317,185,-100.534,151,374.33,299,-135.809,313,780.926,384,-132.074,315,282.3,441,7984.65,11353,2632.4,3943,1145.85,1573,914.1,1154,553.4,973,146.625,487,161,508,728.45,778,758.575,903,487.175,935,926.05,1570,1024.78,1389,2579.6,3298,11800.1,16776,7686.4,11096,3354.05,1348,286.65,391,3693.38,1349,2569.44,1150,1233.75,1042,1929.29,916,1533.17,825,1416.71,846,320.163,317,707.787,498,0.0765
1.36654e+06,1.54686e+06,351476,632699,875249,664777,107.525,278,1655.64,2019,1027.43,1287,860.647,901,528.344,623,305.456,609,296.312,354,1978.97,2404,9579.56,12220,9294.93,11674,8545.25,10882,5471.64,7265,3656.74,4727,3526.6,4432,84.9712,331,334.283,286,676.45,314,220.572,205,156.144,365,-159.671,274,-31.2288,217,-559.628,279,29.225,376,9206.4,15547,3009.88,5231,1141.83,2032,1074.58,1683,600.375,1015,400.35,666,126.8,325,294.5,448,111.025,421,429,587,670.825,769,351.625,772,1489.3,2549,12602.4,22120,8833.75,14757,5415.81,2888,937.125,296,5132.49,2813,5014.62,2464,3109.31,1616,2369.68,1089,1381.8,873,1724.36,820,654.675,472,-152.075,281,0.0885
1.4811e+06,1.47971e+06,370629,625417,812765,651939,359.013,585,9317.86,11762,5651.04,6764,4160.48,5028,2373.08,2932,2108.91,2768,965.628,1245,10275.4,13204,54808.8,69938,53139.2,68182,49398.4,63081,34073.3,43149,21388.5,27324,18747.2,23608,135.912,322,172.951,195,737.662,326,-545.414,149,72.3138,333,44.5088,358,146.287,379,-328.473,227,-179.475,309,41886.1,73077,14687.8,25652,6015.2,10550,4264.38,7051,2837.88,4744,1553.1,2997,362.6,972,289.55,561,444.45,756,520.175,929,1093.5,1385,862.925,1425,5645.4,9279,56163.2,97957,39374.5,68530,34347.9,16146,898.275,585,30143.4,14966,28721,14069,20092.6,9622,12370.5,6601,10173,4966,9550.1,4771,3125.94,1563,2280.43,1027,0.1398
1.21117e+06,1.43552e+06,421020,837972,1.16177e+06,770167,836.103,875,27322.5,36915,15614.9,20536,11818.6,15417,6974.38,9430,6480.62,8359,2978.63,4173,32532.3,44587,163187,222992,157362,217873,146903,200940,99566,137129,63086.4,86775,54995.8,75417,563.674,323,374.745,228,569.899,411,614.407,225,-295.48,287,-131.348,337,509.516,406,-739.945,201,438.825,529,99810.9,185445,35571.5,65930,14176.9,26509,10360,18263,6292.02,11331,3569,6498,1372.6,2482,488.25,742,634.375,1130,654.8,1379,1322.12,2670,1643.68,2843,12366.8,22824,131429,243805,93106.1,172186,101085,53034,2254.96,1775,91557.8,48618,84435.5,44737,56341.1,29856,38002.2,19861,29313.8,15047,25646.5,14086,10015,5280,6145.48,3218,0.1639
1.36356e+06,1.74531e+06,345768,554660,760514,651195,94.1875,331,1049.16,1449,715.206,967,517.894,721,307.141,475,390.844,449,458.391,403,1228.73,1807,6356.25,9013,5978.77,8611,5518.15,7756,3812.77,5486,2476.89,3634,1869.76,2920,535.765,350,-128.235,206,490.53,334,436.58,305,-667.839,296,307.93,232,635.987,342,-466.667,198,204.35,349,8110.65,15616,2560.3,5028,1005.33,2037,661.725,1471,484.4,1113,362.6,791,195.95,544,142.675,339,369.35,608,383.975,612,530.95,820,543.4,752,1205.97,2494,11700.6,22715,7755.12,14973,3465.88,1880,258.038,387,4252.85,2181,3293.5,1873,2474.06,1314,1546.04,885,1521.36,572,962.587,736,46.375,367,418.775,232,0.1642
1.71803e+06,1.98891e+06,716555,1.26551e+06,1.51864e+06,1.18929e+06,623.15,784,41828.5,51334,24394.9,28948,18031.5,21451,11051.5,13286,9864.59,11689,4468.37,5756,48341.1,59151,252787,309180,244303,300864,228141,278557,155633,191079,98544.2,121062,85572.1,105316,-221.402,374,321.21,180,555.166,332,659.954,365,-333.556,138,136.846,410,818.587,493,-1.55625,449,132.725,522,205347,343782,72389,120716,28921.1,48499,20928.3,34013,13142,21218,7465.75,11764,2573.9,4164,621.775,1120,1122.53,1385,951.425,1560,1905.65,3108,2341.53,3963,23792.8,39473,273930,457931,192173,320262,150231,70674,4592.52,1972,136693,65219,127899,59886,85472.4,40875,57538.6,27218,44233.3,20718,41140.4,19328,14988.8,7262,9387.88,4284,0.1712
1.21397e+06,1.52287e+06,255353,493100,684982,477601,343.922,493,550.825,1002,80.85,453,438.419,450,-70.7781,397,200.887,481,246.538,445,724.419,872,3367.2,4815,3198.35,4569,2758.7,3926,1831.29,2674,1539.76,1736,913.413,1420,-560.457,242,-967.054,131,-430.666,206,-94.3087,315,-48.4512,255,-65.155,380,-17.9487,218,-203.35,390,35.075,414,4326.05,8042,1349.88,2463,640.1,1134,340.7,768,195.675,523,213.5,634,117.825,387,288.7,504,265.05,565,269.825,546,461.225,1035,272.125,659,958.7,1827,6414.1,12015,4117.88,7827,1942.67,887,73.4125,379,1784.3,1079,1580.69,870,1311.97,582,531.825,467,1023.14,530,151.812,385,653.712,399,1059.8,406,0.1838
