"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","B1-A","B1-H","B10-A","B10-H","B11-A","B11-H","B12-A","B12-H","B13-A","B13-H","B14-A","B14-H","B2-A","B2-H","B3-A","B3-H","B4-A","B4-H","B5-A","B5-H","B6-A","B6-H","B7-A","B7-H","B8-A","B8-H","B9-A","B9-H","R1-A","R1-H","R2-A","R2-H","R3-A","R3-H","R4-A","R4-H","R5-A","R5-H","R6-A","R6-H","R7-A","R7-H","R8-A","R8-H","V1-A","V1-H","V10-A","V10-H","V11-A","V11-H","V12-A","V12-H","V13-A","V13-H","V14-A","V14-H","V15-A","V15-H","V16-A","V16-H","V2-A","V2-H","V3-A","V3-H","V4-A","V4-H","V5-A","V5-H","V6-A","V6-H","V7-A","V7-H","V8-A","V8-H","V9-A","V9-H","YG1-A","YG1-H","YG10-A","YG10-H","YG2-A","YG2-H","YG3-A","YG3-H","YG4-A","YG4-H","YG5-A","YG5-H","YG6-A","YG6-H","YG7-A","YG7-H","YG8-A","YG8-H","YG9-A","YG9-H","Time"
1.50443e+06,1.5236e+06,502788,925583,721692,500948,59679.2,47199,1066.48,771,857.703,564,1361.54,677,401.731,388,390.575,501,36536.8,29164,25642.4,20557,6305.83,5130,4368.47,3294,3394.79,2870,2814.88,2250,1878.87,1436,1796.26,1415,527.05,424,382.319,204,113.606,266,394.354,305,178.139,260,-816.513,278,-255.121,244,430.977,367,231.6,332,8299.88,8649,5301.24,5657,2949.56,2974,2127.6,2218,1418.84,1473,865.88,1055,889,764,240.68,269,606.72,505,4651.8,5064,23716.2,24498,17758.7,18594,17174.5,17838,6404.12,6805,5785.04,6144,1014.83,295,868.438,448,353.237,553,1907.32,871,1578.5,906,1719.64,666,1236.81,607,503.212,461,492.538,376,574.962,408,0.0572
1.68497e+06,1.7686e+06,600847,932816,676505,562725,38964.4,27729,775.944,599,71.6656,332,26.6156,288,477.913,384,677.45,448,24054.3,17537,17371.2,12368,4646.31,3281,3090.44,2091,2958.37,1924,1807.1,1372,952.85,1046,1190.58,934,-53.4312,326,527.672,319,-134.46,243,1189.18,283,530.889,475,1985.77,715,-628.31,138,1016.44,371,-59.68,132,5416.12,4945,3625.8,3313,2081.12,1985,1588.36,1588,745.72,987,921.84,853,464.48,523,297.12,495,324.32,482,3149.16,2836,15131.4,14034,11514.2,10587,11240.1,10272,4528.96,4090,3897.6,3588,687.487,393,148.137,268,517.037,323,1496.07,603,734.475,645,783.3,552,921.375,299,424.112,528,1326.41,490,246.4,218,0.0584
2.40331e+06,2.07607e+06,983885,1.53753e+06,1.02156e+06,882495,303485,204223,4188.8,2878,2967.83,1663,2592.5,1558,1608.2,1163,821.419,625,187084,125855,132920,89390,31516.6,20899,19976.5,13651,16451.7,11053,11841,8053,8324.42,5594,8060.5,5218,481.4,303,-90.5737,161,-337.395,273,357.004,194,-264.459,307,399.126,372,294.961,408,55.2987,383,289.96,369,35468.7,30956,22892.1,20178,11470.8,10279,9340.8,8016,6861.48,5619,4650.84,3733,1811.56,1674,382.04,459,1562.48,1321,22049.7,19742,114249,100700,85438,75419,81157.2,71326,30015.4,26228,25112.4,22068,1540,522,601.475,339,4189.67,1668,6598.11,2411,7440.82,3038,5014.36,2171,4137.88,1687,4796.31,1972,2450.35,740,2650.72,992,0.0953
1.46284e+06,1.26805e+06,829937,1.23454e+06,771996,704667,12679.8,8225,589.209,412,776.528,442,-372.884,212,108.322,221,430.419,455,8060.23,5385,5999.57,3836,1213.48,940,1481.6,785,1074.56,586,714.159,629,826.306,467,680.478,407,495.302,489,-535.454,97,-943.917,50,664.83,333,-263.006,308,-212.999,359,-33.9263,265,-180.006,358,371.88,428,2225.64,2051,1432.96,1219,962.16,664,362.48,752,205.76,401,305.96,424,-211.52,155,133.64,364,494.2,594,1442.68,1223,6439.56,5265,4848.8,3890,5235.96,4211,2179.24,1813,1826.88,1543,-182.35,192,474.163,404,707.612,384,1360.54,471,801.938,392,574.263,333,105.7,227,818.562,341,217.175,402,-772.45,235,0.1003
1.47393e+06,1.52053e+06,591472,928559,608821,539223,35049.3,25313,559.938,531,571.784,476,81.3344,251,-73.525,243,-123.888,159,21386.3,15699,14922.5,11009,3932.58,2841,2212.55,1748,2123.3,1571,1453.39,1232,1179.16,748,515.897,652,-324.115,231,474.345,248,288.01,245,908.227,339,-636.091,275,-364.163,246,130.414,285,110.079,241,324.08,431,5190.88,5029,3671.6,3397,1348.04,1460,1407.64,1497,1302.88,1152,611.76,732,126.8,395,384.12,442,1210.4,749,3513.52,3249,15720.4,15253,11800,11379,11520.7,10949,4588.8,4179,3802.12,3958,408.712,268,118.562,386,1217.12,555,454.387,452,410.2,448,342.825,412,516.95,277,529.462,537,543.725,402,-265.387,221,0.1624
1.32415e+06,1.13876e+06,702841,1.159e+06,682141,548649,3293.06,1954,351.369,301,349.775,423,248.784,371,588.731,364,495.178,378,2059.28,1307,2295.9,1390,593.3,415,882.778,569,193.428,212,273.434,438,188.275,227,446.888,346,909.472,408,318.72,203,262.799,304,603.617,289,956.679,440,815.786,760,848.883,511,306.685,394,460.84,345,967.92,784,722.2,584,375.64,307,672.52,444,297.4,319,146.6,279,162.72,296,296.76,327,700.16,548,892.16,591,1663.24,1272,1436.52,968,1642.2,1168,1321.4,1097,592.8,453,-184.8,128,-20.3875,372,406.788,261,308.7,304,304.5,254,650.212,294,430.413,283,-119.963,381,183.575,305,478.1,452,0.1905
2.17317e+06,2.05081e+06,1.03376e+06,1.975e+06,1.65256e+06,1.09912e+06,130663,92454,2013.01,1575,1367.97,935,1233.67,974,561.319,483,713.256,603,81154.2,57019,57986.3,40593,14591,9979,9569.94,6447,8097.53,5209,6089.77,4263,3769.75,2781,3884.71,2508,168.075,346,142.241,189,-228.457,176,10.0638,260,-410.331,303,-12.5538,236,173.47,313,516.156,341,480.12,374,15780.8,14115,10274,9223,5517.84,4631,4236.8,3571,3340.44,2720,2088.84,1941,686.92,746,744.92,533,868.72,890,9267.76,8401,45124.8,41108,33888.3,30650,32831.6,29426,13082.7,11550,11227.4,9870,1070.04,552,-54.775,386,2164.22,1043,3372.07,1298,2962.93,1396,2519.21,1181,3253.6,1072,3148.69,1034,851.812,654,216.475,397,0.2344
2.16768e+06,2.355e+06,844666,1.21075e+06,909188,841020,83318.8,59188,1389.22,1026,833.797,769,871.781,627,216.803,259,-33.7344,393,51129.2,36517,37048,26018,9142.6,6384,5781.86,4174,5347.93,3713,4520.88,3045,2450.12,1819,2624.06,1732,206.151,217,-4.04625,249,-657.775,142,-179.695,193,537.425,397,327.539,490,227.835,258,-118.067,235,405.16,328,12441.6,11640,8485.64,7686,4274,3933,3632.96,3024,2584.68,2278,1489.72,1631,556.44,458,426.68,417,1011.76,757,7515.84,7055,36024.4,33684,26984.8,25322,26384.7,24501,9894.92,9453,8826.36,8320,468.825,338,322.087,356,1348.11,652,2225.47,734,2132.72,1097,1707.47,847,1897.79,813,1045.1,685,-653.8,310,410.112,410,0.2516
2.04682e+06,1.74863e+06,821685,1.18727e+06,717050,674901,213083,132070,3800.51,2009,2122.72,1164,1400,1037,1331.47,868,508.672,465,131986,81533,93073.8,57420,22434.4,13935,14646.2,9115,12836.5,7611,9809.69,5939,6643.76,4128,6470.31,3727,506.507,458,451.312,284,136.431,176,714.422,337,-92.7525,391,684.024,341,-199.615,213,1028.89,434,-22.96,277,31829.7,25170,21248.3,16781,10419.2,8246,8650.68,6710,6359,4863,3871.04,3190,1643.16,1385,680.36,555,1692.44,1140,18155.3,14725,91247.2,73969,68590.2,55392,65600,52845,25247.1,20174,21734.7,17553,1135.49,443,1117.11,596,2575.65,1334,5033.17,1725,4894.84,1872,3890.16,1471,3287.64,1364,3205.91,1128,1588.91,744,1368.5,510,0.321
1.69568e+06,1.71483e+06,858213,1.41342e+06,1.06999e+06,860263,899574,684862,8453.2,6195,5622.91,3932,3879.77,2781,2455.49,2055,2537.68,1978,555358,422331,390803,297400,90646.1,68686,53564.1,40849,39710.1,30198,26674.5,20097,17652.9,13332,16230.2,12331,181.044,378,-63.1838,158,-206.774,165,386.365,257,477.561,419,587.64,407,648.23,326,1061.26,427,373.32,424,85952.8,86352,51453.5,51969,25033.3,25216,20842.3,20154,14243.9,14339,9295.32,9325,3940.2,3690,528.24,690,2801.92,2906,71632.1,72255,371254,373837,276812,278087,260948,262747,90166.6,90822,66664.8,67080,3156.12,1353,1099.26,740,8058.49,3685,11922.6,5440,12128.5,5767,9939.83,4418,7674.27,3735,8253.79,3938,4042.68,1725,1622.34,1370,0.3992
