"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","B1-A","B1-H","B10-A","B10-H","B11-A","B11-H","B12-A","B12-H","B13-A","B13-H","B14-A","B14-H","B2-A","B2-H","B3-A","B3-H","B4-A","B4-H","B5-A","B5-H","B6-A","B6-H","B7-A","B7-H","B8-A","B8-H","B9-A","B9-H","R1-A","R1-H","R2-A","R2-H","R3-A","R3-H","R4-A","R4-H","R5-A","R5-H","R6-A","R6-H","R7-A","R7-H","R8-A","R8-H","V1-A","V1-H","V10-A","V10-H","V11-A","V11-H","V12-A","V12-H","V13-A","V13-H","V14-A","V14-H","V15-A","V15-H","V16-A","V16-H","V2-A","V2-H","V3-A","V3-H","V4-A","V4-H","V5-A","V5-H","V6-A","V6-H","V7-A","V7-H","V8-A","V8-H","V9-A","V9-H","YG1-A","YG1-H","YG10-A","YG10-H","YG2-A","YG2-H","YG3-A","YG3-H","YG4-A","YG4-H","YG5-A","YG5-H","YG6-A","YG6-H","YG7-A","YG7-H","YG8-A","YG8-H","YG9-A","YG9-H","Time"
1.33541e+06,1.47746e+06,932011,1.5918e+06,1.26329e+06,945555,1680.77,1374,12725.6,10778,8057.79,6622,6118.83,4822,4070.7,3431,3618.98,3365,13811.4,11450,68707.9,57725,30847.2,25537,33299.4,28192,37026.3,31135,37250.5,31903,25887.2,21988,24060.8,20178,1097.05,447,498.934,353,800.846,308,180.421,235,493.331,276,137.054,360,208.952,293,515.638,382,363.56,356,103030,115473,82873.6,92625,41999.3,47400,35496.1,38434,24910.8,26938,15926.9,16958,6207.64,6665,117.64,542,510.8,750,1118.32,1371,9010.68,9777,7229.36,7852,8245.68,8991,22192.9,24552,50276.8,56326,6581.84,3413,1501.24,1256,13111.2,6604,20597.7,10049,21535.8,11250,16896.1,8402,13997.7,6914,14553.7,7455,6036.62,3214,3862.25,2291,0.009
1.57359e+06,1.71471e+06,646805,1.03406e+06,810606,660240,253.566,291,799.213,1047,686.109,621,525.459,457,190.772,296,22.3656,369,2801.44,2210,13313.9,10734,5223.78,4197,3958.88,3285,3229.31,2669,2886.81,2172,1657.18,1245,1674.23,1267,311.354,499,87.565,200,-228.042,200,-181.562,135,-923.79,123,289.359,408,-612.436,363,299.111,344,298.04,317,6323.2,6730,4749.04,5171,2280.48,2561,2189.8,2212,1338.44,1618,1227.04,1110,316.28,333,236.8,345,310.44,524,338.32,561,1246.72,1333,1030.76,955,1492.04,1472,1637.32,1849,3340.44,3465,458.587,439,-195.387,269,1520.4,676,1303.57,819,1862.53,678,1313.81,594,954.8,529,1880.2,779,752.5,499,18.6375,323,0.0171
1.9267e+06,1.99717e+06,644022,1.02772e+06,675373,552801,632.984,709,1395.17,1162,902.859,1006,792.838,759,420.006,625,748.691,551,2616.14,2111,13802.6,10697,6108.74,4646,5613.98,4357,5123,4084,4935.26,3765,3809.59,2792,3405.26,2741,508.686,551,503.395,291,-378.48,263,711.725,306,306.789,408,15.8737,350,-100.222,299,-454.01,164,371.44,415,14107,14246,11006.1,11175,5774,5688,4638.04,4761,3334.84,3486,1931.24,1917,1021.88,717,361.28,436,629.2,617,603.48,834,2305,2257,1963.32,1887,2523.36,2250,3733,3719,7305.16,7132,1063.91,541,191.625,363,1600.38,927,3562.65,1409,2624.39,1389,2876.91,1205,1294.47,891,2026.85,1146,1238.74,745,898.362,414,0.0314
1.44998e+06,1.66982e+06,514658,952507,742690,509284,2334.74,1887,5861.6,5180,3624.03,3106,3016.38,2528,1938.16,1566,1282.28,1285,17716.7,15051,89334.4,76402,34747.4,29575,27890.2,23814,23179,19487,18446,15517,12126.9,10584,11109.8,9312,185.505,256,-205.114,193,-215.281,214,354.202,259,-414.585,394,710.376,397,-78.85,223,10.0638,428,26.56,208,40386.6,44673,31903.5,34953,16313.2,17660,13813.7,14419,9468.08,10156,5765.36,6146,2298.88,2634,3.24,299,312.72,638,625.56,776,3653.84,3990,2690.56,3247,3951.8,4506,9003.08,9966,19841.2,22062,5534.46,2644,-33.8625,526,6571.42,3573,9801.84,4909,9644.08,4894,7181.04,3686,6438.95,3163,5868.71,3108,2419.99,1311,1368.32,1018,0.0337
1.83603e+06,1.99599e+06,658045,1.06974e+06,782958,645952,769.197,643,1970.09,1798,1628.07,921,891.225,854,243.738,574,524.45,564,7173.26,5994,38078.2,30029,15120.6,11574,11608,9055,8424.78,6812,7047.19,5522,4757.88,3562,4460.38,3273,38.595,461,945.889,397,809.25,372,-163.406,234,1636.14,486,-762.874,191,647.089,397,-296.414,364,-109.72,191,16498,16829,13022.1,13200,6350.8,6824,5530.48,5649,4136.04,3999,1997.28,2365,849.2,1161,325.64,529,449.28,575,665.16,658,1899.88,1744,1586.72,1525,2300.04,2359,3831.08,4107,7641.48,8270,2251.29,1098,954.362,329,2409.84,1328,3658.29,1668,2967.56,1518,1912.05,1100,1695.05,904,2167.81,1119,1330.35,729,1246,473,0.0406
1.26331e+06,1.42208e+06,489426,775817,597184,493742,376.072,386,1162.53,955,638.562,675,413.738,499,279.969,318,368.741,364,2656.41,2528,13202.6,11544,4943.55,4583,4243.73,3822,3640.76,3169,3179.96,2767,1824.9,1635,2240.23,1687,265.911,266,365.408,305,274.73,196,-627.584,199,275.871,383,-517.92,310,334.697,252,75.7375,494,107.16,234,7405.6,8788,6274.24,6881,2787.92,3326,2481.8,2943,1899.44,2207,978.2,1115,307.8,368,168.68,293,247.2,355,117.44,375,1065.16,1195,997.28,992,1431.16,1415,1790.68,2184,3862.52,4448,436.625,334,63.9625,413,1580.69,735,1916.69,917,1824.29,881,1167.16,643,624.837,547,785.925,505,-134.4,382,180.162,187,0.0419
1.92481e+06,1.95268e+06,1.0129e+06,1.80727e+06,1.34846e+06,989147,961.775,861,1710.2,1314,1282.49,909,609.078,597,560.894,644,653.916,379,7342.41,5281,34771.6,24839,13660.9,9387,10181,7044,7788.76,5455,5035.67,3701,3241.48,2665,3099.53,2438,-139.751,206,162.68,234,-423.3,118,-540.434,129,-65.8812,283,-405.663,248,-485.654,241,-266.326,252,381.72,345,11832.4,10667,8983.72,8322,4220.76,4101,3611.72,3603,3129.68,2762,1905.96,1494,764.28,733,184.68,499,633.16,546,464.96,670,1532.96,1563,1728.72,1529,2166.96,1855,3098.96,2845,5715.84,5400,1503.25,658,760.9,313,2302.21,824,2527.44,1104,3372.43,1366,2613.97,984,1516.03,756,2311.75,917,549.412,408,359.362,432,0.0427
1.94398e+06,2.15902e+06,667150,1.23561e+06,861532,618161,962.944,748,1671.84,1830,1316.23,1051,1442.18,1012,434.775,515,766.753,594,7098.08,5572,35471.9,27374,13972.9,10869,10889.2,8251,8955.17,6881,7373.59,5597,4731.63,3679,4085.95,3269,66.0887,227,891.316,383,51.5637,330,39.7362,219,431.704,476,-86.9425,235,971.826,386,431.496,292,355.04,395,14935.5,15139,12091.7,11778,5882.6,6048,5122.36,5003,3355.24,3575,2432.2,2206,939.12,1036,765.96,512,698.08,715,842.24,693,2064.24,1816,2037.16,1699,2106.92,2139,3685.64,3855,7724.88,7554,1485.92,910,908.775,379,2871.4,1244,3796.54,1818,4509.14,2010,2920.84,1512,2746.19,1124,1709.57,1380,892.938,483,165.462,295,0.0483
1.96197e+06,2.01486e+06,755145,1.26207e+06,851500,677714,748,711,1816.34,1425,1406.17,843,777.325,671,842.084,735,510.106,487,5975.77,4606,29994,22716,11927.6,8721,9205.45,7043,7550.07,5636,5652.34,4135,4000.84,3283,3383,2752,769.825,394,212.895,244,416.971,239,-280.644,229,434.505,412,615.756,298,620.84,280,-215.489,301,328.16,480,13316.6,13395,10946.6,10695,5240.92,5358,4659.36,4515,3462.52,3208,2102.76,2078,675.24,763,656.72,546,415,679,968,871,1797.4,1913,1452.76,1404,2231.4,2160,3127.32,3325,6972.28,6823,1814.49,905,545.388,444,2201.32,989,2595.51,1329,2931.43,1411,2429.35,964,2334.68,1029,1369.9,993,1017.62,356,654.5,404,0.0498
1.81858e+06,1.8097e+06,767604,1.34246e+06,1.00264e+06,763583,3188.4,2615,5117.74,3929,3430.49,2353,2601.58,1745,2063.48,1140,1616.81,1327,16133.4,12518,78728.1,60715,30370.9,23117,23342.5,17910,19469.4,14974,15490,11781,10108.1,7787,9919.13,7549,156.455,478,-230.74,330,858.324,341,-347.147,192,75.4262,298,-37.0387,216,177.205,238,-698.549,509,391.92,321,34258,33949,26749.8,26617,13264.1,13594,11674.4,11463,8239.04,8277,5137.92,4819,2000.96,1933,428.4,491,906.32,853,1813.4,2048,4881.96,5005,4032.04,4057,5280,4964,8000.68,7997,16933.4,17051,3765.21,1900,1021.12,507,5912.38,2577,7583.71,3741,8377.25,3838,6157.9,2734,5034.66,2253,5163.29,2373,2316.21,1073,884.625,638,0.0533
1.81926e+06,1.67138e+06,890300,1.33377e+06,896450,798400,638.35,480,581.347,564,379.844,287,178.713,332,-37.5063,213,-205.859,352,1403.83,1276,6956.77,4915,2988.49,2070,2367.73,1667,1798.97,1182,1515.55,1054,593.513,672,910.191,579,-247.651,282,-421.744,260,458.16,294,-97.94,200,1262.84,464,-54.8837,352,-197.644,269,-1415.67,75,531.44,478,3673.16,3132,2816,2340,1212.8,1187,1212.44,1158,892.08,838,383.2,487,38.52,247,-0.68,232,202.32,433,621.36,720,978.24,1029,1010.72,732,1556.04,1188,1097.92,1046,1719.6,1956,513.888,414,-556.15,208,720.388,428,742.175,436,1400,550,953.312,473,1013.86,463,165.637,220,-557.638,174,115.237,327,0.0594
1.33834e+06,1.39595e+06,854350,1.54446e+06,1.37963e+06,992630,1060.16,826,5670.08,4828,3800.62,3045,3064.41,2510,2140.14,1544,1452.92,1483,7602.88,6197,37107.4,31293,16706.5,13844,16543.9,14118,18350.8,15568,18098.6,15239,12659.2,10489,11586.4,9749,-335.631,241,334.905,343,151.994,252,-130.414,361,743.991,369,159.464,230,-41.1887,296,414.066,258,392.28,336,46762.2,52486,37277.4,41487,18767.8,21427,16525.2,17448,11377.8,12317,7113.96,7563,2702.96,3135,339.16,660,457.08,764,795.76,950,4199.36,4843,3436.32,3823,4300.4,4941,10267,11397,22895.2,25730,3442.86,1481,1535.1,792,6910.84,3342,10939.6,5110,11130.2,5582,8077.21,4231,6819.14,3616,6948.02,3706,3185.52,1491,2467.41,1210,0.0605
1.18677e+06,1.36226e+06,576434,1.01618e+06,965668,717464,3593.53,3370,18439.6,16161,11275,9748,8503.77,7661,5700.68,5015,5767.46,4937,37277.8,32555,190611,167070,76381.2,66745,66845.8,58968,62819.8,54814,56251.8,49260,38497.4,33518,35511.1,30797,385.224,371,196.814,397,278.05,284,24.485,161,-182.911,356,-441.249,247,-210.82,216,189.136,317,474.64,528,135361,154749,107742,122419,54195.3,62079,46142.3,50632,32044.5,35339,20245.9,21941,8264.16,8751,328.48,635,697.24,1096,1707.24,1840,10878.4,12201,8824.68,10045,10976.4,12292,28790.5,32841,66553.4,75650,12904.3,6563,2925.21,1815,21011.7,10910,30072.4,15453,31385.6,16566,23799.6,11908,19351.2,10082,19005.5,10267,8894.81,4121,5698.79,3136,0.0609
1.69693e+06,1.77728e+06,862774,1.53243e+06,1.16732e+06,858037,8017.25,6418,29572.6,22892,18077.6,13748,14578.8,10758,9697.38,7168,9395.74,6767,76973.9,60090,394209,308282,154142,119958,125867,98422,109018,84274,91708.9,70740,60987.3,47182,56190.3,43597,302.639,404,-545.206,209,1147.89,322,662.34,441,1174.66,454,358.041,370,-194.324,471,-26.8713,313,633.8,421,222954,225889,177858,179962,90061.4,91072,76633.7,75364,53156.9,52507,33637.8,33006,13607.6,13544,791.92,752,1041.96,1072,2413.8,2157,16222.8,16240,12442.9,12668,16860.3,17117,47241.5,47699,109643,110533,22064.1,10327,3840.64,2052,33974.1,15591,46157.2,21222,47157.4,21610,34903.2,15962,28444.2,13186,29689.5,13620,12466.6,5608,6806.01,3535,0.0726
1.66782e+06,1.8279e+06,572091,891770,753075,639602,1130.29,980,2345.2,2246,1700.64,1503,1027.33,988,996.306,737,572.316,717,9648.03,7838,47814.5,39208,18207.2,14599,13759.2,11677,11337,9167,8598.17,7152,5932.79,4710,5822.23,4526,65.7775,371,-96.9025,126,212.376,201,343.101,270,-360.739,168,-283.964,267,1198.62,298,-546.14,191,319.2,374,20420.1,21857,15705.2,17175,8382.04,8687,7373.32,7203,4839.84,4889,2774.04,3082,1267.92,1339,654.2,423,275.96,410,578.2,688,2077.68,2121,1595.16,1722,2334.08,2601,4501.2,4954,10266.4,10978,2280.25,1299,1245.04,420,3884.74,1711,4443.42,2157,4382.52,2011,2490.07,1358,2400.21,1304,2674.18,1528,371.788,539,114.45,278,0.0779
