"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","B1-A","B1-H","B10-A","B10-H","B11-A","B11-H","B12-A","B12-H","B13-A","B13-H","B14-A","B14-H","B2-A","B2-H","B3-A","B3-H","B4-A","B4-H","B5-A","B5-H","B6-A","B6-H","B7-A","B7-H","B8-A","B8-H","B9-A","B9-H","R1-A","R1-H","R2-A","R2-H","R3-A","R3-H","R4-A","R4-H","R5-A","R5-H","R6-A","R6-H","R7-A","R7-H","R8-A","R8-H","V1-A","V1-H","V10-A","V10-H","V11-A","V11-H","V12-A","V12-H","V13-A","V13-H","V14-A","V14-H","V15-A","V15-H","V16-A","V16-H","V2-A","V2-H","V3-A","V3-H","V4-A","V4-H","V5-A","V5-H","V6-A","V6-H","V7-A","V7-H","V8-A","V8-H","V9-A","V9-H","YG1-A","YG1-H","YG10-A","YG10-H","YG2-A","YG2-H","YG3-A","YG3-H","YG4-A","YG4-H","YG5-A","YG5-H","YG6-A","YG6-H","YG7-A","YG7-H","YG8-A","YG8-H","YG9-A","YG9-H","Time"
1.79494e+06,1.61497e+06,832257,792738,888149,1.29044e+06,598.4,451,3115.72,3518,1815.34,2067,1172.7,1605,795.472,945,844.8,998,584.444,556,3213.38,3658,16647.6,17812,17115.8,18193,16101.1,17521,11647,12687,7423.01,7886,6455.83,7140,9473.21,3202,16959.9,5834,13796.5,5012,11310.7,3990,10017.9,3444,6951.87,2506,5481.84,2097,3521.27,1058,-40.3,216,5189.8,7632,3159.82,4823,2126.03,3044,1815.18,2352,1400.9,2013,757.875,1194,359.125,591,430.775,409,538.25,511,603.25,561,508.775,858,839.975,915,1457.45,1681,4833.35,6882,4369.08,6512,10592,4594,808.5,458,10767,4325,9910.51,4117,8580.77,3565,6861.31,2841,6501.77,2681,5944.92,2399,2879.45,1381,1312.41,646,0.0317
1.90488e+06,1.71269e+06,737586,696961,671400,991844,57.9219,357,7919.62,8145,4431.25,4538,3540.97,3343,2301.58,2242,1671.55,1783,1431.99,1036,7813.99,7861,40248.6,40443,40824.2,41335,39252.7,39956,28422,28390,18152.2,18251,15553.3,15987,20236.5,6486,36857.9,12147,32581.9,10742,25438.9,8310,20993.1,7273,14437.8,4814,12505.4,4047,7500.81,2299,-62.55,223,13478.9,18751,8153.4,11260,4373.05,6361,4245.45,5517,3000.62,4111,1907.72,2746,990,1390,396.8,471,346.575,697,505.8,605,837.475,892,858.15,1115,2334.95,3078,11599.2,15917,11047.9,14885,26770.1,10322,717.325,699,24632,9981,24975.5,9506,21205.5,8261,17139.2,6687,14288.8,5406,13426.8,5287,6450.24,2361,3772.82,1578,0.0424
1.67205e+06,1.63623e+06,769852,806545,891972,1.15047e+06,925.925,1266,53751.7,59910,31949,34238,23570.9,25720,14892.6,16215,13077.5,14000,5972.48,6711,61319.7,68096,290755,321328,290657,323707,275733,304418,195596,216779,124773,138646,109308,121258,197437,70985,360856,130258,322908,116767,250226,90325,212002,75954,147468,53009,128982,46056,63511.3,22461,159.525,243,89248.1,133109,58138.4,87166,34550.7,52224,30914,45132,23767.6,35067,15725.5,23079,6548.05,9643,456.525,769,686.7,907,875.975,1159,1431.68,1854,2040.85,2781,12504.7,18633,77335.5,115350,73383.8,109394,192340,79970,15527.7,6877,175970,73601,165399,68879,149358,63708,127496,53443,102862,43259,103860,43835,49229.3,20217,30636.6,13279,0.0739
1.81157e+06,1.89249e+06,543826,546837,662238,910944,594.756,869,51149.6,61725,30498.7,35580,22425.8,25821,13644.6,16124,12492.5,14471,5631.69,6661,57133.8,69127,278027,333484,277010,335303,263273,316343,184881,222969,118293,142827,102989,124294,193228,73937,353012,135245,315076,121831,245187,93839,208501,79303,143741,54908,124636,47308,61916.8,23293,124.225,289,84363.2,138472,56638.3,93101,34655.8,56746,31156.1,49235,23874.9,38251,16035.8,25717,6561.7,10878,62.05,326,263.275,684,645.45,803,1000.2,1495,1375.15,2368,10974.4,17919,72922.5,119643,69081.2,113066,184389,84608,15969.2,7528,168937,78450,157024,72456,146566,68639,125715,58478,101128,47019,102837,48335,47911.9,22151,31502.8,14778,0.1157
1.91788e+06,2.02174e+06,541722,528001,582289,816316,91.4375,282,916.541,1010,708.538,682,247.741,398,-42.3844,348,367.022,365,497.613,594,762.472,1061,3965.71,4413,4174.19,4775,3713.46,4383,2754.92,3176,1745.08,2103,1290.95,1724,6355.62,2504,10818.5,4335,10362.7,3811,8172.59,2914,6933.2,2644,4206.34,1874,4056.31,1437,1403.74,920,19.95,261,1517.4,2172,1111.97,1961,968.85,1547,746.325,1450,660.25,1078,495.4,781,267.65,401,568.075,503,684.425,684,373,586,709.475,824,652.55,827,852.8,1264,1654.3,2146,1485.33,2095,3063.99,1250,1024.45,516,2851.1,1347,2383.15,1246,2906.84,1283,2513.96,1401,2837.01,1234,2991.8,1278,1324.22,645,333.637,520,0.1676
1.49077e+06,1.6268e+06,716557,773744,806742,1.08321e+06,583.447,675,36258.1,45077,21245.4,25715,15631.2,18955,9671.75,11680,8693.4,10392,4406.5,5396,43382.7,54230,200995,249484,200670,251111,190213,236365,132947,165792,84419.2,105409,73755.1,92083,42665.4,17255,80906,31657,70522,27900,55561.3,21742,46386.7,18223,33715.6,12935,28271.3,10864,14333,5267,148.325,426,59306.9,100674,31111.4,52886,15747.6,26745,13087.3,21195,9474.12,15444,6189.33,9522,2252.53,3672,380.275,441,147.275,525,813.9,933,1034.78,1416,1461.9,2126,8385.48,14028,51507.5,87226,48924.5,82625,132786,62690,6747.39,2971,122856,58714,114601,54610,86851.5,41802,64566.9,30610,50499.1,23892,49905.7,23429,19820.7,9540,12909.6,6121,0.2083
1.99771e+06,1.93126e+06,1.0025e+06,1.15935e+06,1.15788e+06,1.34476e+06,1379.81,1490,85118,92553,49799.1,52894,37148.2,39080,22797.7,24306,19855.3,21390,10656.3,11389,105675,114967,485824,527790,480133,525446,453986,493775,314118,343199,198827,216939,173189,189503,63813.1,22169,116019,40803,105719,36949,81242.9,28430,68806.8,24062,48913.6,16860,43093.3,14779,20716.2,7136,408.15,398,133746,197649,66241.9,97948,31705.6,46859,25898.7,37057,17988.2,25795,11149.2,16325,4223.93,6149,690.125,790,569.475,837,942.05,1214,1872.65,2263,2729.98,4065,19061.1,27457,117265,173253,110633,163489,322472,134905,13723.4,5336,290869,123054,270917,113760,193853,82122,139865,58601,107797,45116,102288,43602,42605.8,17603,25796.9,10893,0.2161
1.89411e+06,2.0427e+06,711978,717420,939434,1.21401e+06,750.303,972,26843,31246,15933,17604,11822.2,13168,7289.43,8086,6728.67,7384,2999.25,3511,29345,34162,145310,168613,145964,170490,139281,161087,97855,113461,62572.8,72617,54284.6,63142,92457.7,34075,170377,62610,152065,56090,117896,43287,99879.7,36636,69479.1,25347,59829.8,21939,30270,10816,43.075,223,44028.3,69443,28538.5,45254,17156.4,27030,15362.7,23295,11902.5,18169,8042.6,12087,3353.98,5137,236.325,424,132.3,358,532.025,641,1005.73,1167,949.175,1575,6235.43,9343,38049.7,59897,36327.8,57034,99800.7,44055,8644.74,3759,91351.1,40926,85246.9,37714,75992.6,34036,64188.1,28809,51937.2,22800,51511.9,23438,24998.9,10611,16620.3,7200,0.2415
1.30488e+06,1.34308e+06,577987,561830,612613,846540,434.809,502,14849.9,15648,8769.85,8959,6744.86,6979,3953.64,4376,3694.59,3827,1606.69,1832,15991.2,17250,76033.5,80362,76358,81662,72784.9,76930,52055.2,55055,33407.2,35287,29520.3,31189,100794,34820,186758,64037,168408,57532,131285,45083,110683,37883,78378.9,26779,68394,22938,33460.8,11416,58.125,214,22535.4,32262,18850.5,26929,12891.8,18622,11944.4,16814,9698.67,13596,6547.4,9286,3138.23,4131,184.225,250,307.525,447,395.35,491,689.45,941,584.05,812,3570.2,4733,19406,27718,18328.7,26150,51079.2,20098,6324.76,2757,47970.4,18631,44393.6,17609,49645.6,19704,46776.1,18611,39258.1,15424,40239.7,15940,20469.7,8037,12681.3,5113,0.2466
1.5033e+06,1.65863e+06,458931,437587,548104,769595,623.975,825,24405.6,29136,14423.9,16890,10918,12468,6855.68,7710,6148.93,7152,3104.48,3447,29072.3,34917,133095,158782,132974,159837,126199,150205,89419.7,106862,57459.8,68476,49656.8,59467,80586.4,30517,147631,56000,130671,49486,101024,37962,86633.8,32412,60175.4,22799,51181.4,19420,25884,9356,-94.625,165,38385.2,62276,24790.7,40213,14369.9,23625,12720.2,20056,9812.4,15635,6663.85,10532,2843.07,4493,322.1,346,396.5,458,399.925,700,629.525,927,1142.58,1563,5495.35,8919,33155.5,54595,31509,50873,88952.7,40570,6870.5,2914,81143.8,37519,76977.9,35164,68678.4,31857,56309.8,26097,45181.8,20732,47274.8,21295,20937.1,9607,12485.2,6060,0.3277
2.24811e+06,1.80833e+06,1.09749e+06,1.02953e+06,901687,1.28278e+06,409.578,446,727.994,671,141.522,398,265.788,387,414.803,450,109.244,323,378.503,441,977.316,966,2189.86,1906,2003.38,1876,1987.46,1841,2020.49,1515,1079.03,962,943.972,926,4273.05,1286,6511.45,1839,6279.68,1617,4048.95,1579,3816.75,956,2666.89,844,2788.8,948,644.599,629,141.5,222,1425.68,1591,774.925,1216,693.3,996,457.8,496,446.725,678,327.4,377,118.375,439,382.75,430,804.55,720,797.625,737,1145.93,1104,893,1036,1589.97,2125,1724.4,1926,1292.43,1622,1297.54,654,810.337,366,2385.25,762,1145.46,598,2235.1,723,1679.04,581,1012.02,492,1137.94,686,740.688,444,490.087,425,0.3345
1.4365e+06,1.5319e+06,858744,1.01589e+06,1.59307e+06,1.8598e+06,1061.05,1384,77754.1,95109,45345.9,53993,33807.7,40266,21100,24698,18514.3,21909,8536.14,10570,88816.1,108524,432004,525711,430803,529691,408692,497821,286058,350631,181946,223251,158169,193569,81181.2,32138,149494,59481,136917,54346,107915,42589,90866.5,35693,62868.5,24625,55487.3,21817,27895.1,10758,292.775,414,141353,237194,72329.9,121118,35759.4,60391,29658.8,47843,20932.2,33823,13137.5,21021,4935.77,8493,283.35,553,427.625,721,919.275,1291,1151.18,1996,2230.82,3847,18240.8,30362,122890,205235,116250,193996,283620,131090,13102.2,6287,254811,120274,238700,111214,176654,83633,129712,60781,101313,46905,98192.8,46362,41106.2,19505,25796,11916,0.3558
