"B1-A","B10-A","B11-A","B12-A","B13-A","B14-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A","V1-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","YG1-A","YG10-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A"
690.147,555.103,100.566,518.819,206.497,546.603,740.775,1087.73,1138.47,968.363,1162.38,1148.4,986,860.041,332.104,450.897,305.751,41.1887,700.935,338.017,611.087,949.001,-95.88,2949.4,1852.8,994.36,574.72,1013.76,476.44,218.28,968.88,908.8,1382.04,1508.52,1717.52,2421.16,2042.52,2273.48,847.962,559.912,459.2,786.013,587.912,1229.99,639.188,1079.05,768.25,-400.4
257.337,701.144,116.981,-122.506,373.734,-432.491,403.75,352.219,465.641,1019.26,1247.22,1523.41,335.697,554.147,267.364,-151.164,237.38,-54.2612,377.961,-264.562,-854.9,-255.121,210.08,4353.52,3261.72,1720.72,1435.6,1155.84,619.96,300.48,170.12,726.72,711.76,1007.84,799.64,1086.32,1479.64,2411.16,572.075,-181.65,912.8,1396.67,420.087,1027.07,576.188,304.587,199.762,284.812
632.4,557.547,339.734,-3.29375,527.053,246.978,376.709,748.797,33.0969,565.888,890.588,1304.64,1097.56,976.384,-152.616,324.53,223.27,109.975,-194.531,-66.1925,-416.556,278.984,43.8,3469.6,2399.6,1506.64,1162.88,958.08,720.08,37.92,-13.96,619.84,465.64,780.8,926,922,929.8,1817.88,646.275,-52.4125,278.95,485.8,336,235.9,449.225,473.375,1150.62,-32.55
527.213,509.788,198.103,222.488,195.659,384.944,-349.562,447.419,641.431,1279.78,1025.95,1013.52,1391.61,650.675,31.54,377.65,714.319,526.116,597.704,790.471,-318.305,-117.237,165.44,3282.16,2364.08,1204.84,1284.6,986.92,263.48,148,524.32,336.4,243.56,957.84,369.44,652.32,1313.48,2264.28,523.95,20.9125,320.6,1076.69,1372.09,898.975,875.525,934.325,49.525,446.25
445.294,1113.87,781.044,344.516,426.381,278.959,648.763,627.088,388.397,1109.3,2236.72,2262.86,1743.51,1523.52,143.279,-73.2475,123.981,85.1787,-480.051,418.631,361.569,-235.927,167.92,7074.52,5310.36,2955.52,2242.12,1430.2,911.48,312.8,-160.56,390.72,456.64,1571.76,1472.76,1541.68,1871.96,3796.08,1092.26,805.787,186.55,1685.34,2170.7,1119.65,429.8,1638.44,423.675,902.562
87.2844,811.272,379.791,467.606,623.634,497.622,-102.425,370.016,237.256,1360.43,2166.81,2486.3,1616.12,1337.85,331.378,188.514,18.5712,-454.736,49.9037,441.456,-116.096,930.534,94.28,7490.6,6336.6,3156.36,2871.16,1824.4,1000.28,254.32,238.84,375.56,386.44,1113.6,920.72,1195.32,1651.96,3918.44,160.475,965.65,534.975,1420.91,849.275,1812.47,1208.29,1128.84,-613.812,458.237
513.241,158.047,180.838,384.2,-89.3031,364.331,190.028,512.763,54.0281,465.375,1136.98,992.003,582.303,1231.65,131.659,-182.704,-258.753,932.194,-142.345,48.2437,481.919,760.176,96.36,3942.04,2793.56,1494.32,1455.88,1038,849.12,277.84,343.72,665.64,884.32,1118.52,1209.4,1258.64,1843.68,2317.32,237.037,330.4,342.387,1067.59,8.225,445.55,800.275,265.913,92.925,386.312
421.759,385.581,304.513,-85.3188,134.141,65.2906,675.856,566.419,813.663,787.631,1272.56,1546.15,964.059,676.812,-197.021,235.097,92.8562,1109.4,522.796,821.804,-938.419,-147.429,184.6,3893.04,2804.08,1578.56,1230.76,1230.12,442.12,414.96,629,1012.36,951.12,1231.8,829.04,1717.56,1654.52,2453.28,667.275,-602.087,284.462,392.962,369.688,556.587,317.188,861.087,-1025.76,401.538
159.694,465.747,740.562,497.781,361.781,99.2906,586.288,409.488,616.941,1267.83,1913.51,2196.88,1107.07,1597.04,-109.456,-182.393,72.3138,-211.857,336.357,477.665,-410.746,-325.049,-11.2,5832.32,4635.6,2667.48,2489.84,1467.6,601.48,77.12,85.6,168.48,144.8,1132.96,988.8,780.28,1833.84,2953.24,283.325,739.638,1069.42,1520.14,1552.34,986.212,1589.61,784.612,860.3,586.425
-56.95,710.547,422.556,379.153,418.253,413.419,140.038,533.588,759.794,1047.84,1033.87,1323.5,652.428,461.231,595.318,814.541,610.984,1188.15,-429.214,575.605,-671.574,36.6237,149.4,4188.88,2860.56,1135.8,1632.24,713.2,885.08,516.32,-215.4,466.88,132.56,690.92,277.76,852.64,1485.72,2129.72,-189.175,996.362,578.812,916.475,911.75,1202.69,270.2,604.1,223.65,570.675
176.109,63.0594,581.506,183.972,578.053,266.05,674.369,292.241,95.8375,429.356,788.269,1000.13,192.366,957.897,-518.75,725.939,-231.57,860.399,-10.5825,164.962,-264.251,-429.94,264.48,3239.76,1912.2,550.96,942.68,892.24,490.16,74,58.88,390.24,398.8,889.28,575.6,564.84,937.96,1062.04,77.4375,992.337,493.85,380.012,-171.412,132.125,1184.57,373.712,-355.6,-3.7625
25.9781,502.031,450.925,360.559,249.475,166.653,427.763,642.388,248.731,488.909,1104.95,1051.93,498.153,621.616,203.35,362.917,-119.416,-194.012,-1062.92,-610.154,-9.13,-381.904,87.64,2994.48,1804.64,782.92,571.04,1129.36,505.84,64.28,-206.4,215.52,-303.6,972.44,388.08,1028.96,1115.76,1425.84,-25.9,-156.975,624.925,1061.55,944.912,530.425,414.225,300.038,694.575,135.275
-134.141,589.528,819.081,1094.85,460.116,-135.628,233.484,482.641,609.184,1065.26,1110.15,1161.1,809.838,861.634,306.892,-48.555,423.922,208.226,-267.467,666.075,416.764,945.266,225.96,4393.4,3415.04,1444.4,1569.32,734.8,471.12,189.28,174.64,630.88,906.24,953.28,1323.92,1470.12,1700.2,2186.08,304.413,-66.7625,449.663,1239.79,1095.76,759.5,1038.01,465.675,296.275,212.012
844.263,609.344,732.966,669.8,604.722,755.597,1030.36,699.444,913.272,894.094,1879.51,1539.08,961.35,1057.88,172.64,-478.599,1078.17,1038.43,725.524,675.205,645.636,419.876,162.84,6128.88,3842.88,2328.48,2142.92,1374.84,1151.8,531.52,-71.92,410.76,758,836.52,773.36,1525.48,2011,2965.44,136.938,895.125,1128.4,1408.66,840.263,566.825,707.263,1118.95,-119.175,283.675
535.606,1125.77,329.747,159.588,202.778,197.253,382.341,814.194,632.4,990.941,1595.18,1040.67,741.944,940.95,164.34,358.56,424.856,218.29,541.16,814.23,477.665,443.946,101.08,4932.44,3225.8,1793.36,1323.92,898.2,789,710.16,697.2,725.84,860.68,1297.64,875.08,1020.44,1873.84,2581.56,312.462,778.138,11.1125,979.3,1323.61,1599.32,1067.24,-277.288,311.237,755.825
292.984,932.238,65.45,549.737,12.75,-56.95,348.713,464.047,284.644,355.3,566.312,605.625,-17.7969,697.638,-219.12,135.497,84.1413,-76.0488,861.851,-699.794,175.441,234.268,85.16,2714.12,1983.64,1079.4,1296.8,661.92,567.24,390.72,352.24,231.64,388.08,781,530.4,958.56,999.96,1382.28,-3.5,-494.375,-36.575,636.3,-12.775,150.5,355.425,514.587,1283.28,809.112
359.338,470.103,957.366,221.266,-0.95625,459.425,-13.1219,417.509,1121.73,1221.03,1533.67,1731.18,1487.98,989.453,-290.811,610.984,355.655,522.174,998.49,101.052,-539.915,-437.929,214.44,6065.36,4959.84,2549.04,1944.48,1381.52,792.6,350.84,-134.4,441.92,501.52,1080.96,641.84,1699.68,1417.2,3240.48,488.512,-330.925,1143.62,1522.94,1715.44,772.8,609.438,1501.94,-101.412,85.4
471.963,358.009,339.788,-37.1344,-141.472,79.475,-112.838,319.281,234.972,583.047,961.934,1230.38,543.097,650.197,-504.329,-110.182,-1197.79,403.276,40.9813,-130.206,124.085,279.503,84.76,3100.24,2370.4,859.64,926.72,728.68,195.92,-14.32,111.84,285.68,338.72,541.64,742.48,1173.2,1055.56,1410.56,-462.7,-125.387,285.337,99.575,633.938,795.725,582.575,-313.337,115.062,939.312
109.544,1272.08,364.491,321.938,628.841,378.888,-117.141,212.394,615.4,2048.02,2165.96,2620.6,2028.31,1900.49,-796.281,339.885,317.475,-376.405,-256.677,118.586,-369.557,-767.231,380.4,9198.04,7315.4,3484.92,3222.76,2190.76,1288.64,470.8,-93.4,474.24,404.44,826.2,929.84,1218.88,2023.68,4488.52,982.275,519.837,1053.76,1487.32,2379.47,1819.47,1589.09,1054.81,734.562,491.312
587.031,733.178,-215.316,477.009,335.059,-17.9563,81.6531,888.622,757.084,1348.47,1907.98,2461.49,1358.25,838.738,89.7438,701.869,-81.0287,233.438,384.601,112.569,106.447,1047.77,127.8,6564.12,5165.84,2520.16,2214.76,1575.16,861.6,493.76,99.24,598.08,558.88,895.84,1097.72,1521.36,2053.4,3596.32,234.325,49.525,488.95,1723.92,1186.59,808.062,993.475,965.475,516.6,533.312
85.2656,-153.372,133.503,437.909,-17.3188,97.4313,595.266,718.516,577.894,811.644,533.694,606.05,518.181,162.456,692.116,60.4862,436.061,347.355,-265.081,647.815,-420.914,-307.515,27.4,2662.28,2091.92,1066.64,943.16,691.12,552.04,267.04,-180.48,118.32,380.12,669.92,906.92,1114.44,1702.24,1596.68,688.275,-131.075,475.913,86.7125,820.575,377.913,84.525,-572.775,813.138,508.637
155.338,283.316,-45.2094,179.35,148.325,93.1813,365.819,530.931,544.106,671.447,799.319,779.025,822.8,387.122,484.098,469.261,310.835,736.003,-94.1012,-753.329,-269.439,-54.8837,261.24,2745.12,1969.6,809.84,814.8,233.16,328.16,52.92,341.24,450.08,557.6,853.56,733.88,823.96,997.52,1731.2,-124.775,-574.35,731.675,441.962,711.725,1303.75,55.65,386.137,922.425,-430.587
530.612,862.697,1343.37,339.522,11.6875,171.594,478.178,515.684,1134.43,1884.4,2662.2,2733.23,1907.45,2017.42,573.219,804.685,-171.188,-823.256,-840.271,-212.065,-606.626,431.392,559.04,10011.2,7611.24,4137.68,3369.16,2599.48,1424.92,981.88,618.24,611.2,856.76,1617.56,1268.92,1970.52,2873.08,5042.8,657.388,35.7,1414.44,1868.91,1935.59,1651.47,1473.15,1922.29,893.55,300.65
-46.9094,156.453,580.603,2.17813,175.153,700.028,373.522,952.797,522.006,1085.13,2195.18,2045.05,1385.82,1401.76,-598.222,11.3088,468.846,-35.0675,750.839,-287.699,-471.855,-329.302,211.44,6791.48,5047.48,2404.44,2252.92,1548.92,1004.64,679.48,337.6,261.04,171.76,1170.04,1111.4,1696.88,2268.92,3777.56,1271.11,604.362,469.962,1464.49,820.575,1176.53,956.9,678.825,980.087,248.15
